chromosome,start,end,gene,score,orientation
chrII,217109,217110,YBL006C,.,-
chrXI,288860,288861,YKL078W,.,+
chrXIII,610348,610349,YMR174C,.,-
chrIV,217615,217616,YDL136W,.,+
chrIV,859361,859362,YDR205W,.,+
chrII,89991,89992,YBL071W-A,.,+
chrVIII,481003,481004,YHR187W,.,+
chrXVI,647317,647318,YPR040W,.,+
chrIII,111661,111662,YCL002C,.,-
chrIX,83027,83028,YIL143C,.,-
chrX,396583,396584,YJL024C,.,-
chrII,462146,462147,YBR111W-A,.,+
chrXV,181420,181421,YOL080C,.,-
chrX,387661,387662,YJL030W,.,+
chrXIII,851585,851586,YMR290C,.,-
chrXVI,710105,710106,YPR086W,.,+
chrV,359055,359056,YER099C,.,-
chrXIV,473394,473395,YNL082W,.,+
chrXI,592825,592826,YKR082W,.,+
chrVIII,459297,459298,YHR178W,.,+
chrXVI,552017,552018,YPL003W,.,+
chrVII,141727,141728,YGL194C,.,-
chrXIII,777996,777997,YMR255W,.,+
chrII,186478,186479,YBL018C,.,-
chrXIII,895431,895432,YMR309C,.,-
chrVIII,190536,190537,YHR042W,.,+
chrXI,140697,140698,YKL165C,.,-
chrXV,263465,263466,YOL033W,.,+
chrIX,237768,237769,YIL067C,.,-
chrIV,281858,281859,YDL101C,.,-
chrXV,153501,153502,YOL089C,.,-
chrXIV,280418,280419,YNL191W,.,+
chrXVI,720437,720438,YPR093C,.,-
chrIV,271914,271915,YDL106C,.,-
chrXII,712074,712075,YLR287C,.,-
chrXV,493409,493410,YOR091W,.,+
chrV,184514,184515,YER015W,.,+
chrII,528289,528290,YBR142W,.,+
chrXIII,749704,749705,YMR239C,.,-
chrXVI,175014,175015,YPL196W,.,+
chrVII,330634,330635,YGL095C,.,-
chrXII,614725,614726,YLR238W,.,+
chrII,297771,297772,YBR029C,.,-
chrXII,885254,885255,YLR383W,.,+
chrI,99732,99733,YAL026C,.,-
chrXIII,325839,325840,YMR027W,.,+
chrX,211615,211616,YJL110C,.,-
chrXII,931795,931796,YLR406C,.,-
chrVI,95054,95055,YFL022C,.,-
chrXVI,690048,690049,YPR072W,.,+
chrIV,688165,688166,YDR119W,.,+
chrXII,965830,965831,YLR422W,.,+
chrXVI,506392,506393,YPL023C,.,-
chrX,587630,587631,YJR089W,.,+
chrVII,200472,200473,YGL160W,.,+
chrV,539258,539259,YER174C,.,-
chrXIII,693138,693139,YMR212C,.,-
chrII,504384,504385,YBR133C,.,-
chrIV,1135815,1135816,YDR334W,.,+
chrII,447591,447592,YBR103W,.,+
chrVI,11245,11246,YFL059W,.,+
chrXV,368007,368008,YOR019W,.,+
chrIX,183816,183817,YIL095W,.,+
chrXVI,264314,264315,YPL153C,.,-
chrXII,88497,88498,YLL026W,.,+
chrXIII,701166,701167,YMR216C,.,-
chrXV,642120,642121,YOR162C,.,-
chrV,246640,246641,YER047C,.,-
chrIV,121736,121737,YDL190C,.,-
chrXIV,559153,559154,YNL037C,.,-
chrIII,137026,137027,YCR011C,.,-
chrIV,998690,998691,YDR265W,.,+
chrXVI,603535,603536,YPR021C,.,-
chrII,666436,666437,YBR221C,.,-
chrVI,74617,74618,YFL033C,.,-
chrVIII,261793,261794,YHR079C,.,-
chrXIV,483332,483333,YNL076W,.,+
chrXI,118281,118282,YKL176C,.,-
chrXIV,321664,321665,YNL167C,.,-
chrXII,669899,669900,YLR263W,.,+
chrXIII,95426,95427,YML087C,.,-
chrVI,9431,9432,YFL061W,.,+
chrXVI,591151,591152,YPR015C,.,-
chrXV,580070,580071,YOR136W,.,+
chrVII,746546,746547,YGR127W,.,+
chrIV,1240651,1240652,YDR383C,.,-
chrXIII,798426,798427,YMR266W,.,+
chrX,413395,413396,YJL012C,.,-
chrXIII,25801,25802,YML123C,.,-
chrXV,413745,413746,YOR045W,.,+
chrXV,837554,837555,YOR274W,.,+
chrIII,166374,166375,YCR026C,.,-
chrIV,740147,740148,YDR141C,.,-
chrVII,213990,213991,YGL155W,.,+
chrXIV,481272,481273,YNL077W,.,+
chrXVI,121481,121482,YPL227C,.,-
chrX,11524,11525,YJL222W,.,+
chrIX,11541,11542,YIL173W,.,+
chrVII,48661,48662,YGL240W,.,+
chrIV,1085105,1085106,YDR311W,.,+
chrXIV,350632,350633,YNL148C,.,-
chrXVI,191439,191440,YPL188W,.,+
chrVII,82259,82260,YGL221C,.,-
chrVII,522043,522044,YGR015C,.,-
chrV,148206,148207,YEL003W,.,+
chrXI,234455,234456,YKL108W,.,+
chrIV,267724,267725,YDL108W,.,+
chrIX,381111,381112,YIR014W,.,+
chrX,352409,352410,YJL046W,.,+
chrIV,1256823,1256824,YDR390C,.,-
chrIII,44414,44415,YCL047C,.,-
chrIV,857931,857932,YDR202C,.,-
chrXV,48622,48623,YOL147C,.,-
chrXII,914872,914873,YLR397C,.,-
chrXV,649321,649322,YOR168W,.,+
chrXII,183640,183641,YLR021W,.,+
chrXV,154726,154727,YOL088C,.,-
chrIV,871090,871091,YDR210W,.,+
chrXI,53719,53720,YKL204W,.,+
chrVIII,333087,333088,YHR111W,.,+
chrXII,778936,778937,YLR323C,.,-
chrXV,761249,761250,YOR224C,.,-
chrIV,1301630,1301631,YDR418W,.,+
chrXII,589367,589368,YLR226W,.,+
chrVII,97350,97351,YGL208W,.,+
chrXII,919007,919008,YLR398C,.,-
chrVII,38768,38769,YGL246C,.,-
chrXI,437481,437482,YKL003C,.,-
chrXV,426074,426075,YOR051C,.,-
chrX,36241,36242,YJL212C,.,-
chrXVI,73873,73874,YPL252C,.,-
chrVI,160541,160542,YFR008W,.,+
chrI,76147,76148,YAL036C,.,-
chrX,623012,623013,YJR104C,.,-
chrXIV,60296,60297,YNL304W,.,+
chrIV,426934,426935,YDL015C,.,-
chrII,184350,184351,YBL019W,.,+
chrVIII,21780,21781,YHL039W,.,+
chrX,85656,85657,YJL181W,.,+
chrXV,307932,307933,YOL010W,.,+
chrXIII,318423,318424,YMR021C,.,-
chrXVI,667669,667670,YPR055W,.,+
chrIV,574157,574158,YDR061W,.,+
chrIV,676095,676096,YDR110W,.,+
chrXVI,305290,305291,YPL129W,.,+
chrXVI,685443,685444,YPR069C,.,-
chrIV,1149472,1149473,YDR338C,.,-
chrIX,126195,126196,YIL124W,.,+
chrVII,693352,693353,YGR101W,.,+
chrXII,937529,937530,YLR410W,.,+
chrXVI,246230,246231,YPL161C,.,-
chrXVI,696830,696831,YPR075C,.,-
chrXIV,627442,627443,YNL001W,.,+
chrIII,286748,286749,YCR094W,.,+
chrXIII,246101,246102,YML012W,.,+
chrXII,80220,80221,YLL031C,.,-
chrII,432019,432020,YBR094W,.,+
chrV,254402,254403,YER050C,.,-
chrII,171462,171463,YBL025W,.,+
chrII,496886,496887,YBR130C,.,-
chrXIII,296756,296757,YMR013C,.,-
chrIV,755608,755609,YDR150W,.,+
chrX,247234,247235,YJL095W,.,+
chrXV,17815,17816,YOL159C,.,-
chrV,100748,100749,YEL027W,.,+
chrVII,230220,230221,YGL145W,.,+
chrVII,824033,824034,YGR162W,.,+
chrX,272796,272797,YJL085W,.,+
chrVIII,99188,99189,YHL004W,.,+
chrVII,690212,690213,YGR100W,.,+
chrXIV,241655,241656,YNL216W,.,+
chrII,125087,125088,YBL050W,.,+
chrIV,1401252,1401253,YDR470C,.,-
chrXVI,88476,88477,YPL243W,.,+
chrII,435979,435980,YBR096W,.,+
chrIV,643877,643878,YDR097C,.,-
chrV,456076,456077,YER142C,.,-
chrXIV,647389,647390,YNR012W,.,+
chrVI,194767,194768,YFR021W,.,+
chrIV,340183,340184,YDL063C,.,-
chrXII,196535,196536,YLR026C,.,-
chrV,191858,191859,YER017C,.,-
chrIV,817877,817878,YDR178W,.,+
chrIX,345608,345609,YIL005W,.,+
chrII,602549,602550,YBR187W,.,+
chrXV,860343,860344,YOR290C,.,-
chrVIII,396753,396754,YHR149C,.,-
chrXIV,76846,76847,YNL295W,.,+
chrVII,745730,745731,YGR126W,.,+
chrIV,222320,222321,YDL133W,.,+
chrXI,98613,98614,YKL183W,.,+
chrXI,321648,321649,YKL063C,.,-
chrVIII,422931,422932,YHR162W,.,+
chrXI,205543,205544,YKL126W,.,+
chrXIII,716544,716545,YMR223W,.,+
chrII,645377,645378,YBR210W,.,+
chrII,744618,744619,YBR270C,.,-
chrXVI,261155,261156,YPL154C,.,-
chrXV,116039,116040,YOL105C,.,-
chrIV,1412127,1412128,YDR477W,.,+
chrX,177551,177552,YJL129C,.,-
chrXIII,465995,465996,YMR100W,.,+
chrII,804849,804850,YBR298C,.,-
chrXIII,732886,732887,YMR230W-A,.,+
chrII,647487,647488,YBR212W,.,+
chrXIV,719021,719022,YNR051C,.,-
chrVII,619924,619925,YGR065C,.,-
chrIV,303134,303135,YDL085W,.,+
chrIV,1164739,1164740,YDR345C,.,-
chrIX,41527,41528,YIL160C,.,-
chrXIV,355208,355209,YNL144C,.,-
chrIV,1084567,1084568,YDR310C,.,-
chrXV,722932,722933,YOR204W,.,+
chrXII,275205,275206,YLR070C,.,-
chrI,158796,158797,YAR008W,.,+
chrXV,779582,779583,YOR234C,.,-
chrXIV,234255,234256,YNL220W,.,+
chrXIV,263560,263561,YNL201C,.,-
chrXIII,230761,230762,YML021C,.,-
chrVI,244107,244108,YFR046C,.,-
chrXII,627167,627168,YLR246W,.,+
chrX,334307,334308,YJL054W,.,+
chrIV,963453,963454,YDR252W,.,+
chrIII,106811,106812,YCL008C,.,-
chrIV,167748,167749,YDL161W,.,+
chrVIII,371562,371563,YHR133C,.,-
chrXV,803434,803435,YOR251C,.,-
chrIV,36825,36826,YDL233W,.,+
chrII,582435,582436,YBR175W,.,+
chrXII,17979,17980,YLL061W,.,+
chrXIII,392490,392491,YMR060C,.,-
chrIV,1110612,1110613,YDR322W,.,+
chrXI,513135,513136,YKR038C,.,-
chrXIV,637008,637009,YNR006W,.,+
chrXV,139021,139022,YOL096C,.,-
chrIX,348481,348482,YIL004C,.,-
chrXI,375477,375478,YKL033W,.,+
chrIV,1422783,1422784,YDR484W,.,+
chrI,175115,175116,YAR019C,.,-
chrIV,604025,604026,YDR080W,.,+
chrII,207210,207211,YBL009W,.,+
chrIV,1135414,1135415,YDR333C,.,-
chrIV,812124,812125,YDR174W,.,+
chrII,452669,452670,YBR106W,.,+
chrIV,779051,779052,YDR161W,.,+
chrI,87025,87026,YAL031C,.,-
chrII,484499,484500,YBR122C,.,-
chrIV,438049,438050,YDL007W,.,+
chrIV,52445,52446,YDL225W,.,+
chrXV,606606,606607,YOR147W,.,+
chrXII,501049,501050,YLR170C,.,-
chrXIV,222434,222435,YNL227C,.,-
chrXVI,316749,316750,YPL124W,.,+
chrX,669514,669515,YJR132W,.,+
chrIV,1473006,1473007,YDR514C,.,-
chrXIV,205177,205178,YNL237W,.,+
chrV,41963,41964,YEL060C,.,-
chrII,800509,800510,YBR297W,.,+
chrIV,202582,202583,YDL142C,.,-
chrXIII,751254,751255,YMR240C,.,-
chrVII,666322,666323,YGR091W,.,+
chrXI,329464,329465,YKL059C,.,-
chrIV,1328498,1328499,YDR430C,.,-
chrIV,952765,952766,YDR245W,.,+
chrX,101813,101814,YJL170C,.,-
chrXVI,582771,582772,YPR010C-A,.,-
chrXIII,396421,396422,YMR062C,.,-
chrXIV,430042,430043,YNL102W,.,+
chrXII,645021,645022,YLR254C,.,-
chrIV,924733,924734,YDR229W,.,+
chrVII,56426,56427,YGL234W,.,+
chrIV,832533,832534,YDR185C,.,-
chrX,378748,378749,YJL036W,.,+
chrXII,665766,665767,YLR260W,.,+
chrVII,389985,389986,YGL060W,.,+
chrVIII,417259,417260,YHR158C,.,-
chrII,405344,405345,YBR081C,.,-
chrII,132153,132154,YBL047C,.,-
chrX,109580,109581,YJL165C,.,-
chrIX,148836,148837,YIL115C,.,-
chrVIII,316438,316439,YHR102W,.,+
chrXV,741723,741724,YOR211C,.,-
chrXVI,474908,474909,YPL042C,.,-
chrX,545403,545404,YJR058C,.,-
chrXIV,685668,685669,YNR031C,.,-
chrVII,932292,932293,YGR218W,.,+
chrXVI,486428,486429,YPL034W,.,+
chrVII,485504,485505,YGL006W,.,+
chrVIII,385065,385066,YHR143W,.,+
chrXV,988858,988859,YOR348C,.,-
chrIV,1080297,1080298,YDR309C,.,-
chrIV,1497964,1497965,YDR530C,.,-
chrX,633156,633157,YJR109C,.,-
chrVII,767377,767378,YGR140W,.,+
chrXI,510610,510611,YKR036C,.,-
chrIV,326180,326181,YDL074C,.,-
chrXVI,469801,469802,YPL043W,.,+
chrXIII,886850,886851,YMR307W,.,+
chrXVI,203224,203225,YPL181W,.,+
chrX,578911,578912,YJR078W,.,+
chrXIV,687680,687681,YNR033W,.,+
chrXI,133417,133418,YKL168C,.,-
chrXV,800687,800688,YOR249C,.,-
chrIV,70275,70276,YDL216C,.,-
chrVII,383166,383167,YGL064C,.,-
chrI,58422,58423,YAL044C,.,-
chrI,114576,114577,YAL020C,.,-
chrIII,207912,207913,YCR044C,.,-
chrIV,734174,734175,YDR140W,.,+
chrVI,242033,242034,YFR045W,.,+
chrXII,714868,714869,YLR288C,.,-
chrVII,1046525,1046526,YGR277C,.,-
chrII,347268,347269,YBR055C,.,-
chrVIII,272657,272658,YHR083W,.,+
chrXV,198699,198700,YOL070C,.,-
chrVII,490522,490523,YGL005C,.,-
chrIV,1447852,1447853,YDR499W,.,+
chrXVI,30100,30101,YPL271W,.,+
chrIII,143655,143656,YCR016W,.,+
chrIV,926887,926888,YDR231C,.,-
chrII,728905,728906,YBR257W,.,+
chrX,438884,438885,YJR002W,.,+
chrXIV,538191,538192,YNL048W,.,+
chrIV,478739,478740,YDR016C,.,-
chrXI,47172,47173,YKL208W,.,+
chrXV,471603,471604,YOR076C,.,-
chrIV,789464,789465,YDR167W,.,+
chrXVI,76223,76224,YPL249C-A,.,-
chrXIII,243014,243015,YML015C,.,-
chrV,150963,150964,YEL001C,.,-
chrIX,117630,117631,YIL127C,.,-
chrXII,332102,332103,YLR095C,.,-
chrIV,183005,183006,YDL153C,.,-
chrXIV,352424,352425,YNL145W,.,+
chrXV,644575,644576,YOR165W,.,+
chrIV,1036003,1036004,YDR287W,.,+
chrVII,448525,448526,YGL026C,.,-
chrVII,1010756,1010757,YGR258C,.,-
chrIV,685634,685635,YDR117C,.,-
chrXIV,400531,400532,YNL121C,.,-
chrXV,848482,848483,YOR284W,.,+
chrII,633626,633627,YBR205W,.,+
chrVII,375091,375092,YGL068W,.,+
chrXV,238620,238621,YOL049W,.,+
chrIII,31448,31449,YCL054W,.,+
chrXII,675455,675456,YLR265C,.,-
chrXV,310140,310141,YOL009C,.,-
chrXIV,526081,526082,YNL054W,.,+
chrX,638979,638980,YJR113C,.,-
chrXII,609777,609778,YLR234W,.,+
chrXVI,458793,458794,YPL052W,.,+
chrXII,564537,564538,YLR211C,.,-
chrVII,27490,27491,YGL252C,.,-
chrII,730378,730379,YBR259W,.,+
chrIV,1441157,1441158,YDR495C,.,-
chrIX,220708,220709,YIL075C,.,-
chrIII,61183,61184,YCL035C,.,-
chrX,667148,667149,YJR130C,.,-
chrXVI,163609,163610,YPL206C,.,-
chrVIII,164726,164727,YHR027C,.,-
chrXV,712847,712848,YOR195W,.,+
chrXII,534414,534415,YLR189C,.,-
chrXII,543945,543946,YLR196W,.,+
chrII,539962,539963,YBR149W,.,+
chrXI,437752,437753,YKL002W,.,+
chrXI,353463,353464,YKL045W,.,+
chrXII,528268,528269,YLR188W,.,+
chrI,37431,37432,YAL058W,.,+
chrXII,642591,642592,YLR253W,.,+
chrII,140295,140296,YBL042C,.,-
chrVII,913264,913265,YGR209C,.,-
chrXV,265384,265385,YOL032W,.,+
chrIV,147637,147638,YDL174C,.,-
chrIV,183283,183284,YDL150W,.,+
chrXVI,653732,653733,YPR042C,.,-
chrX,636797,636798,YJR111C,.,-
chrXVI,410348,410349,YPL076W,.,+
chrIV,427265,427266,YDL014W,.,+
chrXI,466169,466170,YKR014C,.,-
chrI,73890,73891,YAL037W,.,+
chrXII,164027,164028,YLR006C,.,-
chrXI,578261,578262,YKR072C,.,-
chrVII,377469,377470,YGL066W,.,+
chrXII,574007,574008,YLR219W,.,+
chrVIII,266985,266986,YHR080C,.,-
chrXII,187277,187278,YLR023C,.,-
chrXIV,434848,434849,YNL101W,.,+
chrXIV,68763,68764,YNL298W,.,+
chrXI,519349,519350,YKR042W,.,+
chrVII,853396,853397,YGR178C,.,-
chrII,122087,122088,YBL052C,.,-
chrIV,392286,392287,YDL035C,.,-
chrX,445633,445634,YJR004C,.,-
chrXV,79590,79591,YOL128C,.,-
chrXVI,694953,694954,YPR074C,.,-
chrXV,344147,344148,YOR009W,.,+
chrXV,891621,891622,YOR306C,.,-
chrVII,395782,395783,YGL057C,.,-
chrIII,224425,224426,YCR060W,.,+
chrXIII,262658,262659,YML004C,.,-
chrIX,274916,274917,YIL043C,.,-
chrXVI,432592,432593,YPL061W,.,+
chrIII,101922,101923,YCL012C,.,-
chrXII,722528,722529,YLR295C,.,-
chrVII,226242,226243,YGL148W,.,+
chrXVI,246818,246819,YPL160W,.,+
chrVII,144625,144626,YGL191W,.,+
chrI,108746,108747,YAL023C,.,-
chrXI,70444,70445,YKL198C,.,-
chrX,290899,290900,YJL079C,.,-
chrXII,725805,725806,YLR299W,.,+
chrVII,73392,73393,YGL226W,.,+
chrII,724225,724226,YBR254C,.,-
chrIV,1229571,1229572,YDR378C,.,-
chrXIV,488421,488422,YNL073W,.,+
chrXI,562262,562263,YKR063C,.,-
chrXIII,594919,594920,YMR167W,.,+
chrXIV,182906,182907,YNL247W,.,+
chrXVI,370630,370631,YPL094C,.,-
chrXIII,687253,687254,YMR209C,.,-
chrIV,612102,612103,YDR083W,.,+
chrXVI,478972,478973,YPL040C,.,-
chrX,642032,642033,YJR117W,.,+
chrVII,459879,459880,YGL017W,.,+
chrXIII,386995,386996,YMR055C,.,-
chrVII,953982,953983,YGR232W,.,+
chrXII,40687,40688,YLL049W,.,+
chrXV,803687,803688,YOR252W,.,+
chrIV,145496,145497,YDL175C,.,-
chrXII,561711,561712,YLR209C,.,-
chrIII,242331,242332,YCR072C,.,-
chrVII,617258,617259,YGR062C,.,-
chrIII,259595,259596,YCR083W,.,+
chrIV,101048,101049,YDL200C,.,-
chrIV,334852,334853,YDL066W,.,+
chrIV,351451,351452,YDL057W,.,+
chrVIII,486843,486844,YHR192W,.,+
chrIV,1443385,1443386,YDR496C,.,-
chrXVI,730507,730508,YPR101W,.,+
chrXVI,79337,79338,YPL249C,.,-
chrVIII,281504,281505,YHR088W,.,+
chrIV,1196254,1196255,YDR361C,.,-
chrV,70485,70486,YEL043W,.,+
chrV,332822,332823,YER087C-B,.,-
chrXIII,337792,337793,YMR033W,.,+
chrX,587368,587369,YJR088C,.,-
chrXIV,199973,199974,YNL240C,.,-
chrXVI,277526,277527,YPL146C,.,-
chrVII,81183,81184,YGL222C,.,-
chrXIII,564435,564436,YMR153W,.,+
chrX,41186,41187,YJL208C,.,-
chrX,424113,424114,YJL006C,.,-
chrXIII,195760,195761,YML041C,.,-
chrIV,842000,842001,YDR190C,.,-
chrXII,958419,958420,YLR419W,.,+
chrXV,268177,268178,YOL030W,.,+
chrII,75248,75249,YBL079W,.,+
chrXV,70313,70314,YOL133W,.,+
chrX,445910,445911,YJR005W,.,+
chrXIII,171581,171582,YML051W,.,+
chrXV,249809,249810,YOL042W,.,+
chrVIII,256344,256345,YHR078W,.,+
chrIX,421804,421805,YIR035C,.,-
chrXV,675921,675922,YOR181W,.,+
chrV,213193,213194,YER029C,.,-
chrXV,531481,531482,YOR112W,.,+
chrIV,397509,397510,YDL030W,.,+
chrXI,418273,418274,YKL012W,.,+
chrXVI,797246,797247,YPR133C,.,-
chrII,153648,153649,YBL035C,.,-
chrXV,544988,544989,YOR117W,.,+
chrVIII,324724,324725,YHR105W,.,+
chrIV,174875,174876,YDL156W,.,+
chrVI,103175,103176,YFL018C,.,-
chrVII,402539,402540,YGL053W,.,+
chrIV,447630,447631,YDL002C,.,-
chrIV,1174229,1174230,YDR349C,.,-
chrXVI,514241,514242,YPL020C,.,-
chrVIII,212793,212794,YHR053C,.,-
chrVIII,214791,214792,YHR055C,.,-
chrXIII,592707,592708,YMR165C,.,-
chrXV,525187,525188,YOR109W,.,+
chrIV,1242120,1242121,YDR384C,.,-
chrXIV,90205,90206,YNL288W,.,+
chrXI,245520,245521,YKL104C,.,-
chrIV,1002183,1002184,YDR266C,.,-
chrXV,316770,316771,YOL004W,.,+
chrXIV,295676,295677,YNL183C,.,-
chrXII,1053425,1053426,YLR455W,.,+
chrXV,544356,544357,YOR116C,.,-
chrXV,616894,616895,YOR151C,.,-
chrXIII,241766,241767,YML016C,.,-
chrVIII,125923,125924,YHR009C,.,-
chrX,31867,31868,YJL213W,.,+
chrXI,435276,435277,YKL004W,.,+
chrXV,11981,11982,YOL161C,.,-
chrXI,439480,439481,YKL001C,.,-
chrX,123052,123053,YJL158C,.,-
chrXIV,272457,272458,YNL195C,.,-
chrIV,138126,138127,YDL179W,.,+
chrXVI,239146,239147,YPL165C,.,-
chrXV,56466,56467,YOL141W,.,+
chrXI,384832,384833,YKL029C,.,-
chrIX,241917,241918,YIL065C,.,-
chrIV,1420997,1420998,YDR482C,.,-
chrVII,742125,742126,YGR125W,.,+
chrXV,111834,111835,YOL108C,.,-
chrII,47137,47138,YBL091C-A,.,-
chrXII,164428,164429,YLR007W,.,+
chrXII,246942,246943,YLR051C,.,-
chrXIII,173172,173173,YML050W,.,+
chrXI,255427,255428,YKL100C,.,-
chrVII,22335,22336,YGL254W,.,+
chrVII,936853,936854,YGR220C,.,-
chrXI,273418,273419,YKL089W,.,+
chrIX,89689,89690,YIL138C,.,-
chrXV,1026865,1026866,YOR368W,.,+
chrIII,192994,192995,YCR035C,.,-
chrVII,276693,276694,YGL124C,.,-
chrVII,575417,575418,YGR040W,.,+
chrIV,272407,272408,YDL105W,.,+
chrIV,1366807,1366808,YDR454C,.,-
chrXIV,346039,346040,YNL153C,.,-
chrX,528460,528461,YJR049C,.,-
chrIX,412754,412755,YIR030C,.,-
chrI,135650,135651,YAL010C,.,-
chrX,460395,460396,YJR013W,.,+
chrXVI,883840,883841,YPR171W,.,+
chrIV,858149,858150,YDR204W,.,+
chrIV,1446980,1446981,YDR498C,.,-
chrVIII,369780,369781,YHR132C,.,-
chrXII,271019,271020,YLR068W,.,+
chrII,684987,684988,YBR233W-A,.,+
chrXVI,911266,911267,YPR187W,.,+
chrV,31228,31229,YEL064C,.,-
chrVII,238108,238109,YGL142C,.,-
chrX,165338,165339,YJL131C,.,-
chrXVI,464409,464410,YPL048W,.,+
chrXVI,713018,713019,YPR088C,.,-
chrXIII,205399,205400,YML037C,.,-
chrXIV,122889,122890,YNL273W,.,+
chrX,327866,327867,YJL058C,.,-
chrXII,720363,720364,YLR292C,.,-
chrIV,372252,372253,YDL045W-A,.,+
chrXV,109179,109180,YOL110W,.,+
chrIV,199727,199728,YDL144C,.,-
chrIV,1303177,1303178,YDR419W,.,+
chrXIV,378769,378770,YNL131W,.,+
chrX,461830,461831,YJR014W,.,+
chrXII,320702,320703,YLR090W,.,+
chrIV,1250187,1250188,YDR388W,.,+
chrX,186677,186678,YJL125C,.,-
chrIV,1190059,1190060,YDR358W,.,+
chrXVI,934032,934033,YPR198W,.,+
chrIV,345663,345664,YDL058W,.,+
chrXII,302240,302241,YLR086W,.,+
chrXV,112098,112099,YOL107W,.,+
chrIV,682171,682172,YDR115W,.,+
chrXIII,793721,793722,YMR262W,.,+
chrXIV,339606,339607,YNL158W,.,+
chrX,381007,381008,YJL035C,.,-
chrII,749585,749586,YBR274W,.,+
chrVII,687887,687888,YGR099W,.,+
chrI,158633,158634,YAR007C,.,-
chrXII,398333,398334,YLR127C,.,-
chrXIII,845364,845365,YMR287C,.,-
chrX,84046,84047,YJL183W,.,+
chrIII,48385,48386,YCL044C,.,-
chrIV,80435,80436,YDL211C,.,-
chrV,47143,47144,YEL056W,.,+
chrVII,401312,401313,YGL054C,.,-
chrVII,830488,830489,YGR166W,.,+
chrIV,447956,447957,YDL001W,.,+
chrXVI,326595,326596,YPL118W,.,+
chrIX,360431,360432,YIR002C,.,-
chrVII,458114,458115,YGL019W,.,+
chrIV,958381,958382,YDR248C,.,-
chrX,150906,150907,YJL140W,.,+
chrII,353347,353348,YBR057C,.,-
chrII,69513,69514,YBL084C,.,-
chrIV,1049462,1049463,YDR293C,.,-
chrVIII,85132,85133,YHL009C,.,-
chrVII,753921,753922,YGR130C,.,-
chrXIII,204201,204202,YML038C,.,-
chrXII,296207,296208,YLR083C,.,-
chrXV,884392,884393,YOR304W,.,+
chrX,373926,373927,YJL039C,.,-
chrV,377749,377750,YER109C,.,-
chrXI,93616,93617,YKL186C,.,-
chrVII,880244,880245,YGR191W,.,+
chrIII,120504,120505,YCR004C,.,-
chrXV,423919,423920,YOR049C,.,-
chrXV,586702,586703,YOR140W,.,+
chrXVI,143444,143445,YPL216W,.,+
chrXIV,730587,730588,YNR055C,.,-
chrXI,2251,2252,YKL224C,.,-
chrII,251214,251215,YBR007C,.,-
chrVIII,209420,209421,YHR050W-A,.,+
chrIV,1072556,1072557,YDR304C,.,-
chrXVI,677053,677054,YPR062W,.,+
chrXIII,159264,159265,YML058W,.,+
chrII,192414,192415,YBL016W,.,+
chrXI,339481,339482,YKL053C-A,.,-
chrVII,352890,352891,YGL083W,.,+
chrIX,432309,432310,YIR039C,.,-
chrII,241391,241392,YBR001C,.,-
chrXII,320387,320388,YLR089C,.,-
chrII,10495,10496,YBL107C,.,-
chrXIII,797871,797872,YMR265C,.,-
chrIV,1024704,1024705,YDR282C,.,-
chrXVI,931414,931415,YPR196W,.,+
chrVIII,111279,111280,YHR003C,.,-
chrXVI,910986,910987,YPR186C,.,-
chrVII,1043059,1043060,YGR274C,.,-
chrI,42209,42210,YAL055W,.,+
chrXV,187056,187057,YOL076W,.,+
chrVII,522292,522293,YGR016W,.,+
chrII,300196,300197,YBR031W,.,+
chrVIII,234627,234628,YHR069C,.,-
chrIV,169579,169580,YDL160C-A,.,-
chrXIV,31351,31352,YNL325C,.,-
chrVII,505832,505833,YGR005C,.,-
chrII,48848,48849,YBL090W,.,+
chrIX,156068,156069,YIL110W,.,+
chrIII,105524,105525,YCL009C,.,-
chrVII,235935,235936,YGL143C,.,-
chrXVI,429594,429595,YPL064C,.,-
chrVII,459642,459643,YGL018C,.,-
chrXI,521691,521692,YKR043C,.,-
chrXIV,323544,323545,YNL166C,.,-
chrIII,178199,178200,YCR031C,.,-
chrV,552544,552545,YER182W,.,+
chrXVI,912681,912682,YPR189W,.,+
chrX,231313,231314,YJL102W,.,+
chrXVI,355398,355399,YPL105C,.,-
chrIV,784882,784883,YDR165W,.,+
chrXIV,514923,514924,YNL059C,.,-
chrII,497173,497174,YBR131W,.,+
chrXI,80529,80530,YKL192C,.,-
chrXI,191437,191438,YKL134C,.,-
chrVIII,220110,220111,YHR059W,.,+
chrVII,217523,217524,YGL151W,.,+
chrXVI,740059,740060,YPR106W,.,+
chrIII,61656,61657,YCL034W,.,+
chrXIV,723115,723116,YNR053C,.,-
chrXVI,493537,493538,YPL030W,.,+
chrXIII,494987,494988,YMR113W,.,+
chrXV,338631,338632,YOR006C,.,-
chrXIII,562539,562540,YMR150C,.,-
chrVII,343053,343054,YGL091C,.,-
chrVII,756463,756464,YGR132C,.,-
chrXIII,439193,439194,YMR086W,.,+
chrIV,628548,628549,YDR091C,.,-
chrXV,792514,792515,YOR244W,.,+
chrV,144307,144308,YEL006W,.,+
chrV,241520,241521,YER045C,.,-
chrXVI,866442,866443,YPR161C,.,-
chrXI,269481,269482,YKL092C,.,-
chrXII,225196,225197,YLR038C,.,-
