CHR|S288C|YJM975|RM11
CHR13|509280-509734|515019-515117|535099-535609
CHR13|510348-510701|517101-517294|536045-536209
CHR13|511075-511315|517868-518264|536813-536962
CHR13|511569-513593|519375-519853|537512-537820
CHR13|513961-514456|521321-521875|538322-538459
CHR13|517287-517539|522182-522345|539921-540509
CHR13|520446-520761|523345-524067|541365-541491
CHR13|521789-522329|525041-525501|542770-543500
CHR13|523345-523696|526528-526932|544749-544836
CHR13|527499-527804|528613-529620|547531-547857
CHR13|531817-532119|530662-531334|549370-549613
CHR13|533027-533163|532004-532501|551168-551276
CHR13|534698-534944|532946-533131|551994-552694
CHR13|535570-536207|533990-534087|554018-554284
CHR13|537609-537838|534658-535227|556316-556556
CHR13|538551-538689|536323-536566|557538-557586
CHR13|540056-541199|537992-538130|557971-558339
CHR13|542881-542978|540312-540682|560248-560813
CHR13|544963-545155|542324-542431|561741-562034
CHR13|545730-546125|543146-543404|562953-563079
CHR13|547237-547714|544170-544375|565750-566156
CHR13|549183-549736|544841-545319|568707-568852
CHR13|550044-550206|545455-546601|569465-572591
CHR13|551207-551928|547052-547191|575013-575174
CHR13|552903-553362|549640-549843|576126-576403
CHR13|554390-554793|550516-551076|579743-580377
CHR13|556475-557481|556045-556396|581812-582463
CHR13|558524-559199|558512-559399|583322-584059
CHR13|559870-560366|561680-562171|584591-584824
CHR13|560812-560996|564758-565498|584913-585221
CHR13|561856-561956|566603-567017|586227-586331
CHR13|562528-563096|569325-569463|586812-587672
CHR13|564193-564435|571288-571483|588549-588934
CHR13|565862-565999|573002-573693|589682-590677
CHR13|568182-568551|575212-575999|592790-593675
CHR13|570194-570300|577650-578112|595338-595520
CHR13|571016-571277|580270-580820|596052-596473
CHR13|572044-572248|582016-582470|597776-597918
CHR13|572715-572883|582675-583327|599406-599592
CHR13|572955-573194|583565-583625|599881-599888
CHR13|573331-574476|583818-584051|601896-602452
CHR13|574928-575066|588285-588877|604982-605272
CHR13|577516-577718|590408-590790|606401-606964
CHR13|578392-578951|591613-592169|608534-608613
CHR13|583921-584271|594444-594562|609712-609906
CHR13|586388-586636|595523-595927|611317-611760
CHR13|586709-587274|596390-596843|612958-613008
CHR13|589550-590040|597477-598122|613894-614148
CHR13|592628-593367|598207-598660|615319-616186
CHR13|594473-594886|598964-599232|617765-618026
CHR13|597195-597332|600118-600500|618522-618785
CHR13|599158-599352|601095-601334|620037-620300
CHR13|600872-601562|604278-604664|621825-622198
CHR13|603082-603868|606780-606998|625047-625451
CHR13|605520-605981|608292-608600|626994-628520
CHR13|608140-608689|609312-609809|629712-631611
CHR13|609981-610159|612912-613224|633967-634719
CHR13|610365-611016|617566-617966|636334-636779
CHR13|611255-611314|619086-619416|638337-638555
CHR13|611508-611740|621577-622334|638651-638794
CHR13|615975-616566|623109-623443|638898-638981
CHR13|618098-618479|624206-624574|639067-639201
CHR13|619303-619858|624828-624891|639288-639374
CHR13|622134-622251|625183-626331|639481-639614
CHR13|623213-623616|626713-627377|639700-639843
CHR13|624080-624532|630642-630846|639928-640470
CHR13|625167-625811|631498-632046|642028-642241
CHR13|625897-626349|633829-634945|646073-647504
CHR13|626654-626921|636584-637053|649128-650891
CHR13|627808-628189|637822-638146|652107-652567
CHR13|628785-629025|639344-639571|653105-654624
CHR13|631970-632355|639738-639820|656599-656850
CHR13|634472-634689|640487-640778|657229-657510
CHR13|635984-636291|641940-642349|659629-659979
CHR13|637004-637500|643610-644173|661144-661643
CHR13|640604-640915|647051-648184|663177-663482
CHR13|645258-645656|649124-649481|664077-664534
CHR13|646777-647118|655851-656755|665012-665629
CHR13|649280-650036|658085-658198|665858-666070
CHR13|650812-651145|659570-659800|668186-669402
CHR13|651910-652275|661148-661366|670027-670454
CHR13|652532-652594|662792-662978|672666-672853
CHR13|652887-654034|665325-665664|673725-674526
CHR13|654417-655076|667435-667633|675505-675601
CHR13|658342-658545|668765-669079|676988-678795
CHR13|659198-659745|670652-671091|681118-681409
CHR13|661529-662644|673318-674070|683387-683964
CHR13|664284-664752|675646-675861|684073-684246
CHR13|665522-665845|679168-679415|685396-685726
CHR13|667044-667288|684390-684598|685937-686375
CHR13|667456-667537|685952-686213|689565-689813
CHR13|668205-668492|687726-687920|690345-690490
CHR13|669655-670063|688590-688997|691124-691339
CHR13|671325-671887|690411-690856|693092-693178
CHR13|674766-675896|692933-693243|694016-694213
CHR13|676837-677193|693685-693876|695252-695710
CHR13|683564-684467|694678-694896|697787-698494
CHR13|685798-685911|696685-696927|700632-701268
CHR13|687284-687516|697951-698235|702448-702764
CHR13|688865-689083|703423-704716|703761-704084
CHR13|690510-690695|705442-705570|706077-706414
CHR13|693043-693381|705757-705847|707492-707727
CHR13|695153-695350|708935-709228|708289-708563
CHR13|696483-696796|711260-711487|710232-710529
CHR13|698370-698811|712166-712568|711336-711860
CHR13|701039-701790|713613-713814|712818-713396
CHR13|703367-703579|715036-715273|714236-714661
CHR13|706887-707133|715745-716051|715817-716494
CHR13|712109-712316|718224-718655|717083-717344
CHR13|713671-713931|720030-720564|719859-720308
CHR13|715445-715638|721978-722232|720786-721066
CHR13|716309-716715|723541-724262|723032-723292
CHR13|718130-718575|725205-725524|724706-725067
CHR13|720653-720960|726518-726596|727695-728361
CHR13|721403-721593|726684-727137|730792-730928
CHR13|722396-722613|728464-729525|731578-731813
CHR13|724385-724626|730591-730792|732834-733118
CHR13|725651-725934|731105-732079|734445-735689
CHR13|731123-732414|734162-734382|736530-736644
CHR13|733141-733268|735384-735623|738655-739688
CHR13|733456-733545|740310-741618|741210-742537
CHR13|736634-736926|741760-743135|744425-744825
CHR13|738959-739185|744891-745249|745882-746288
CHR13|739865-740266|746348-747087|747498-747620
CHR13|741312-741512|747265-747652|751704-751851
CHR13|742735-742971|748055-748283|752785-753024
CHR13|743444-743749|749526-749952|754330-754615
CHR13|745923-746353|750259-750338|755522-756170
CHR13|747729-747892|750903-751282|756798-757800
CHR13|747963-748262|751463-751970|757957-758272
CHR13|749677-749930|754369-754959|760046-760247
CHR13|751240-751961|756619-756960|760782-761394
CHR13|752905-753225|761221-761717|761950-762034
CHR13|754220-754297|762177-762545|763375-763576
CHR13|754386-754838|765708-766066|765389-765873
CHR13|756166-757250|767006-767259|766186-766603
CHR13|758317-758517|767863-768145|766808-767306
CHR13|758831-759807|768755-768880|772344-772563
CHR13|761891-762110|770264-770857|773692-774032
CHR13|763113-763351|773717-774111|776610-776881
CHR13|768039-768369|775042-775227|778058-778315
CHR13|768441-769283|776560-776795|779081-779681
CHR13|769426-770801|777429-777665|780417-780603
CHR13|772558-772915|778761-779204|783346-784023
CHR13|774015-774752|779886-780585|785131-785342
CHR13|774931-775315|780655-781962|786494-786614
CHR13|775719-775946|783115-783428|788007-788400
CHR13|777190-777615|783534-783572|790057-790331
CHR13|777923-778001|786318-786703|792084-793968
CHR13|778567-778945|787649-787990|795790-796173
CHR13|779127-779629|790919-791166|800809-801369
CHR13|782031-782620|792286-792595|802314-804218
CHR13|784281-784621|794792-795096|805443-806635
CHR13|788883-789378|796963-797062|809798-810186
CHR13|789839-790205|798683-799361|813019-813189
CHR13|793369-793726|803661-804672|813667-813984
CHR13|794667-794919|805585-805689|814531-814694
CHR13|795524-795805|807430-807659|815298-815470
CHR13|796416-796540|809199-810520|816739-817013
CHR13|797925-798518|812327-812477|820767-821383
CHR13|801379-801772|814023-814275|821561-821734
CHR13|802704-802888|814534-814769|823682-824495
CHR13|804222-804456|817677-817904|825750-826139
CHR13|805091-805326|820818-821020|827598-828173
CHR13|806423-806865|822143-822409|829752-830181
CHR13|807548-808246|823925-824967|831118-831307
CHR13|808317-809623|826726-827131|833312-833521
CHR13|810777-811089|827628-827735|833577-834818
CHR13|811196-811233|829128-829302|838425-838760
CHR13|813980-814364|830422-830633|839511-839709
CHR13|815311-815651|831222-831546|842407-842649
CHR13|818581-818827|833221-834252|843222-843385
CHR13|819948-820256|835849-836149|844012-844016
CHR13|822454-822763|836600-836742|845588-845809
CHR13|824631-824729|837679-837889|847163-847727
CHR13|826351-827028|839420-839885|848229-848458
CHR13|831329-832339|841956-842404|851099-851578
CHR13|833253-833356|844954-845621|854873-855187
CHR13|835098-835326|846666-847316|855360-855411
CHR13|836867-837928|851007-851402|855763-855799
CHR13|838016-838187|852570-853498|857204-857561
CHR13|839995-840144|858854-859339|857730-857950
CHR13|841691-841942|861017-861288|862910-863172
CHR13|842202-842436|864556-865320|866554-866805
CHR13|845345-845571|867757-868048|867625-868039
CHR13|848486-848685|869000-869246|868718-869223
CHR13|849809-850074|869934-870737|870226-870382
CHR13|851591-852630|871557-871711|870698-871025
CHR13|854390-854795|873638-874039|873853-874540
CHR13|855293-855399|874742-875130|875462-875792
CHR13|856793-856966|876178-876614|878553-879549
CHR13|858087-858297|876720-877152|880438-880711
CHR13|858890-859215|877989-878161|881447-881919
CHR13|860891-861922|878299-880527|883450-883698
CHR13|863520-863819|883184-883460|885304-885668
CHR13|864271-864412|884541-885279|887295-887893
CHR13|865350-865559|886936-889144|891295-891689
CHR13|867091-867555|889448-889970|893208-893859
CHR13|869627-870073|889971-890282|894931-895736
CHR13|872625-873291|890946-891334|897276-897679
CHR13|874337-874987|893096-896955|898610-899079
CHR13|878679-879063|898085-898659|899458-899697
CHR13|880232-881159|898919-898934|901459-901815
CHR13|886516-887003|898934-903670|903449-903799
CHR13|888682-888952|903904-1620100|904736-904963
CHR13|892221-892988||906437-906686
CHR13|896669-896914|--|910359-910742
CHR13|897603-898405|--|910953-912321
CHR13|899226-899379|--|914011-914200
CHR13|901307-901709|--|915296-917113
CHR13|902413-902800|--|917114-918251
CHR13|903849-904286|--|918252-1024423
CHR13|904393-904825|--|
CHR13|905973-907364|--|--
CHR13|910786-911061|--|--
CHR13|912143-912880|--|--
CHR13|914538-916746|--|--
CHR13|917051-917579|--|--
CHR13|917896-918366|--|--
CHR13|919079-920088|--|--
CHR13|921401-922641|--|--
CHR13|923015-1078177|--|--
CHR13||--|--
CHR14|0-371|0-1843|0-2028
CHR14|6098-8330|1843-2519|2028-2029
CHR14|9475-11452|2519-2599|2390-2704
CHR14|12129-12208|2599-3266|2795-3267
CHR14|12876-13267|3266-3661|4391-5578
CHR14|14163-14832|3661-4556|6713-8022
CHR14|15854-16118|4556-6516|9529-9967
CHR14|17248-18001|7645-8400|11660-12855
CHR14|19302-19541|9700-9940|13882-14947
CHR14|22633-22834|13031-13233|18948-21720
CHR14|23274-24048|13672-14456|23188-23427
CHR14|27173-27337|17580-17745|24244-25213
CHR14|28347-28739|18754-19145|28565-29277
CHR14|31378-31944|21789-22348|30584-30612
CHR14|33188-33294|23591-23695|33961-34304
CHR14|34235-34696|24635-25105|35175-35546
CHR14|37422-37700|27830-28109|37368-38684
CHR14|38554-38707|28962-29116|38970-39950
CHR14|40329-40619|30737-31028|40771-41429
CHR14|42016-42071|32424-32480|42201-44359
CHR14|43075-43324|33483-33732|45766-47507
CHR14|44280-44447|34687-34855|48578-50019
CHR14|45214-45308|35621-35716|50242-50954
CHR14|48022-48287|38429-38695|51008-52692
CHR14|49216-49397|39623-39805|54120-55879
CHR14|51688-51907|42095-42311|60000-60949
CHR14|52431-52662|42834-43066|61194-62096
CHR14|53924-54122|44327-44526|62368-63187
CHR14|55897-56446|46300-46850|63660-64960
CHR14|57573-58155|47976-48559|65979-67525
CHR14|58808-58898|49211-49301|68022-68185
CHR14|59791-60297|50193-50700|68918-70257
CHR14|61550-61958|51952-52361|70651-71282
CHR14|62943-63570|53345-53983|71495-72675
CHR14|64562-65744|54974-56163|73099-75779
CHR14|66052-66517|56470-56934|76108-76514
CHR14|68445-68915|58861-59332|76695-78163
CHR14|71443-71673|61859-62090|78427-80582
CHR14|76583-76946|66999-67363|81197-82386
CHR14|78520-78659|68936-69076|82623-83737
CHR14|80260-80640|70676-71057|83819-84588
CHR14|82541-82806|72957-73223|84848-86664
CHR14|84017-84169|74433-74586|86796-88684
CHR14|85815-86218|76231-76635|88953-89227
CHR14|87240-87897|77656-78313|89466-89926
CHR14|88736-89210|79151-79626|90241-91268
CHR14|89306-90303|79721-80717|91428-91723
CHR14|91424-91994|81837-82408|92996-93960
CHR14|94801-95223|85214-85643|94284-96646
CHR14|96080-96241|86499-87699|96818-97038
CHR14|96312-96964|88666-89748|97166-98271
CHR14|100910-102232|91255-92248|98849-103587
CHR14|102232-102716|92834-93028|103828-105482
CHR14|102789-103134|93488-93656|105790-107078
CHR14|104102-104805|94971-95480|107175-108100
CHR14|104877-105184|97464-97834|108402-109354
CHR14|106695-107687|101015-101242|109589-111003
CHR14|108274-108467|101429-101912|111309-111868
CHR14|108928-109095|103371-103830|112160-113859
CHR14|110411-110917|105559-105680|114085-114503
CHR14|112902-113271|106731-107445|114687-115900
CHR14|116453-116679|111160-111367|116056-116866
CHR14|116867-117349|113645-114082|117005-118932
CHR14|118809-119268|119942-120500|119328-120001
CHR14|120998-121118|122220-122259|120691-121358
CHR14|122170-122883|122653-123110|122897-129597
CHR14|126599-126805|124944-125438|129730-130883
CHR14|129084-129522|128637-128840|131168-131805
CHR14|135383-135940|129840-130122|132562-135245
CHR14|137661-137699|131173-131455|135337-136841
CHR14|138094-138550|132398-132771|137319-139948
CHR14|140385-140878|139438-139645|140076-140524
CHR14|144078-144280|141083-141404|140830-141578
CHR14|145281-145563|141998-142188|141888-143872
CHR14|146615-146896|142408-142653|144155-145086
CHR14|147840-148212|144916-145175|145415-147282
CHR14|154880-155100|148863-149167|147886-148325
CHR14|156539-156859|151640-151873|148972-149924
CHR14|157455-157644|152333-152587|150413-151260
CHR14|157865-158109|153791-154562|153545-154983
CHR14|160373-160631|155829-155985|155989-157148
CHR14|164320-164623|156829-157132|157476-158443
CHR14|167097-167329|158858-159954|158789-159642
CHR14|167790-168043|163891-163938|159997-161702
CHR14|169248-170018|165565-165905|162190-163304
CHR14|171286-171441|167151-167419|163640-164550
CHR14|172286-172588|169721-170004|165053-166131
CHR14|174315-175410|170890-170892|166398-168427
CHR14|179348-179394|171428-171713|168556-169817
CHR14|181022-181361|172038-172593|170279-171003
CHR14|182608-182875|175498-175867|171469-172802
CHR14|185178-185460|180644-180966|172974-174952
CHR14|186346-186349|182479-183038|175186-178319
CHR14|186885-187170|184512-185105|179022-179248
CHR14|187496-188051|186468-186964|180366-181726
CHR14|190957-191324|189407-189724|182874-182875
CHR14|196102-196426|191102-191467|184711-184712
CHR14|197943-198502|194388-194770|185412-185413
CHR14|199977-200569|196049-196459|186265-186266
CHR14|201933-202428|199136-199460|186921-187765
CHR14|204872-205188|200337-200524|188056-188465
CHR14|206567-206930|201578-202060|189142-189452
CHR14|209854-210233|203198-203671|189605-191172
CHR14|211513-211922|204734-205192|191980-194012
CHR14|214600-214923|206963-207257|194336-195789
CHR14|215801-215987|209001-209329|196735-197705
CHR14|217042-217523|211631-211903|198002-198340
CHR14|218662-219137|213386-213627|198505-198589
CHR14|220201-220659|214246-214637|199014-199231
CHR14|222431-222724|215203-215595|199519-200258
CHR14|224469-224796|218221-218940|200674-203570
CHR14|227099-227370|220240-220523|203838-205309
CHR14|228854-229094|222189-222765|205638-207757
CHR14|229714-230105|224527-224858|208034-209949
CHR14|230672-231068|225837-226216|214962-216130
CHR14|233695-234413|228698-228995|216450-216550
CHR14|235714-235996|229956-230144|216550-216551
CHR14|237663-238238|230742-230987|217871-218535
CHR14|240001-240331|231630-231988|219348-220429
CHR14|241311-241689|234335-234582|220567-221329
CHR14|244172-244468|234841-235458|221518-223301
CHR14|245430-245617|236269-236585|223602-224971
CHR14|246216-246460|238425-238944|226362-228880
CHR14|247104-247461|239566-239902|229059-230248
CHR14|249809-250055|241178-241337|230973-231229
CHR14|250315-250931|242703-242927|232121-232729
CHR14|251743-252059|243828-244130|233020-235034
CHR14|253900-254418|245007-245179|235176-235693
CHR14|255017-255353|247754-248262|236117-238086
CHR14|256630-256788|249001-249475|238179-239824
CHR14|258155-258375|251078-252157|240087-242716
CHR14|259277-259578|254141-254826|243016-243918
CHR14|260456-260627|255721-256074|244128-245338
CHR14|263203-263713|256858-257261|245812-246272
CHR14|264453-264926|258165-258919|246587-248055
CHR14|266530-267608|260594-261053|248415-251908
CHR14|269593-270275|264447-264983|253240-254090
CHR14|271171-271523|266055-266943|254243-254835
CHR14|272308-272710|267556-268808|255369-256312
CHR14|273615-274368|270435-270856|257140-259406
CHR14|276044-276502|272156-272542|259683-261538
CHR14|279897-280432|273614-274046|261866-263301
CHR14|281505-282395|276411-276729|263376-264319
CHR14|283009-284260|277093-277204|264981-266209
CHR14|285888-286308|277418-277673|266593-268137
CHR14|287609-287994|280044-280496|269188-270449
CHR14|289067-289498|282162-282878|271703-272277
CHR14|291876-292193|284100-284197|272401-272540
CHR14|292557-292669|285191-287221|273667-276254
CHR14|292883-293137|287942-288227|276955-277999
CHR14|295509-295960|289155-289611|278408-278589
CHR14|297627-298335|291520-291943|278983-280430
CHR14|299558-299654|293153-293499|280714-281636
CHR14|300649-302680|294598-295178|281838-283567
CHR14|303402-303686|300420-300708|283830-285187
CHR14|304615-305070|302209-302569|285474-286345
CHR14|306980-307401|303347-303955|286643-288396
CHR14|308612-308957|305900-306761|288976-290561
CHR14|310057-310636|308106-308374|290962-292184
CHR14|315882-316169|309593-309807|292784-293382
CHR14|317671-318030|310861-311283|293917-295016
CHR14|318809-319416|314614-314871|295329-295759
CHR14|321359-322219|315088-315864|295936-298556
CHR14|323565-323832|316693-317137|299086-300568
CHR14|325052-325265|319436-321115|300844-301892
CHR14|326320-326741|322178-323052|302323-304814
CHR14|330073-330329|323920-324186|305304-305611
CHR14|330547-331322|324781-324926|305999-309534
CHR14|332154-332597|325431-325643|309956-314241
CHR14|334867-336545|326541-327090|314803-315380
CHR14|337609-338478|327913-328210|315816-319537
CHR14|339347-339612|329849-330243|319873-321074
CHR14|340208-340352|330631-330887|321416-322077
CHR14|340858-341069|332115-332340|322599-324361
CHR14|341968-342516|333094-333941|325133-327060
CHR14|343340-343636|334329-334481|327659-328575
CHR14|345276-345669|335244-335514|329612-330603
CHR14|346058-346313|335957-335961|331031-331152
CHR14|347542-347766|336154-336290|331380-332347
CHR14|348521-349367|336591-336989|332668-333383
CHR14|349756-349907|337104-337395|333634-334337
CHR14|350671-350940|339616-341369|334811-336951
CHR14|351383-351386|341754-342022|337458-341863
CHR14|351580-351715|343520-344139|342198-344215
CHR14|352017-352414|345181-345460|345197-347055
CHR14|352530-352820|345467-346028|347456-351006
CHR14|355042-356794|350259-350576|351173-351852
CHR14|357186-357453|350954-351284|352125-352936
CHR14|358952-359596|352863-353138|353463-354124
CHR14|360639-360917|354597-354911|354649-355010
CHR14|360924-361486|356187-356425|355670-358296
CHR14|365717-366033|356768-356994|358732-359159
CHR14|366412-366741|358123-358708|359881-361814
CHR14|368321-368595|359228-359406|362025-363592
CHR14|370055-370368|359495-359858|363912-365575
CHR14|371645-371882|363027-363304|366370-369278
CHR14|372226-372451|363761-364095|369410-370889
CHR14|373581-374171|365367-365782|371392-373244
CHR14|374692-374869|365927-366017|373579-373925
CHR14|374959-375321|366738-366896|374271-377263
CHR14|378491-378767|368199-368524|377579-379056
CHR14|379225-379558|371384-371764|379782-381802
CHR14|380831-381245|374303-374683|382182-384721
CHR14|381391-381480|376703-377429|385101-387961
CHR14|382202-382359|378906-379222|388286-389589
CHR14|383663-383987|382214-382560|389747-390468
CHR14|386848-387227|382906-383241|390558-390703
CHR14|389767-390146|385093-385596|391118-392390
CHR14|392167-392892|387076-387208|392724-393181
CHR14|394370-394685|390116-390911|393458-396627
CHR14|397678-398023|392574-392893|396990-397079
CHR14|398370-398684|394460-394671|397257-397777
CHR14|400537-401040|396604-397326|398364-399493
CHR14|402521-402652|397753-398176|399719-400062
CHR14|405564-406358|400800-401460|400300-401576
CHR14|408022-408341|401821-402346|401890-403349
CHR14|409909-410119|403007-403534|403624-405203
CHR14|412053-412771|404345-404618|405533-405911
CHR14|413199-413639|405297-405464|406228-410459
CHR14|416281-416940|409014-409416|411020-411027
CHR14|417302-417826|411274-412256|411306-412348
CHR14|418488-419014|414273-414608|412982-414480
CHR14|419826-420098|419013-419520|414748-415134
CHR14|420778-420944|421660-422134|416887-419108
CHR14|424495-424895|422837-423088|419399-419514
CHR14|426754-427735|423803-424124|419912-420213
CHR14|429753-430087|425091-425319|420349-420542
CHR14|434493-434999|425440-425889|420546-420988
CHR14|437140-437613|426880-427917|421258-422021
CHR14|438317-438567|428833-429431|422173-422561
CHR14|439283-439602|431358-432130|423408-424162
CHR14|440570-440797|433892-434387|424387-425615
CHR14|440919-441366|435048-435390|425871-426259
CHR14|442358-443006|436591-436927|426653-428292
CHR14|443119-443398|440648-441084|428589-429412
CHR14|444315-444912|441661-442223|429961-430859
CHR14|446840-447611|446508-446930|431071-431576
CHR14|449374-449868|450465-450853|431721-432316
CHR14|450530-450871|451160-451650|432582-433450
CHR14|452073-452408|454141-454572|434320-435383
CHR14|456130-456565|455620-455896|437062-439349
CHR14|457143-457704|457378-457908|439793-440622
CHR14|461990-462411|460528-460705|441398-441615
CHR14|465947-466334|461135-461448|441872-445203
CHR14|466642-467131|462547-463082|445625-446679
CHR14|469623-470053|463680-464283|446893-448112
CHR14|471102-471377|465505-465906|448380-449725
CHR14|472861-473391|467491-468071|450586-452531
CHR14|476012-476188|469824-470122|453139-453917
CHR14|476619-476932|470993-471269|454277-455778
CHR14|478032-478566|472626-472889|456066-461308
CHR14|479165-479768|474618-474820|461888-462987
CHR14|480991-481391|475742-476026|463333-464543
CHR14|482977-483556|477473-477868|464963-466872
CHR14|485310-485607|478049-478458|467328-468256
CHR14|486479-486766|479502-480203|468541-469262
CHR14|488124-488386|482790-483918|471286-472280
CHR14|490116-490317|484057-484181|472377-473599
CHR14|491240-491523|484755-486010|474315-475981
CHR14|492971-493366|487271-488322|476433-478804
CHR14|493548-493956|489866-490250|479059-479273
CHR14|495001-495701|491478-492140|479384-479748
CHR14|498289-499417|493083-493158|480066-482431
CHR14|499557-499681|494593-494921|482863-483935
CHR14|500256-501515|496776-497051|484321-485621
CHR14|502777-503724|499317-500145|486042-487669
CHR14|505484-505868|501088-501622|488924-489537
CHR14|507097-507758|502214-502367|490426-491498
CHR14|508702-508776|503217-504549|492034-495428
CHR14|510212-510540|508042-508576|495887-497562
CHR14|512396-512668|509909-510224|498316-499220
CHR14|514935-515763|510684-511158|499623-500407
CHR14|516713-517249|512368-512578|500760-501655
CHR14|517842-517994|513480-513780|502340-504324
CHR14|518845-519099|516409-516672|505403-507006
CHR14|519169-519456|518317-518410|507480-508219
CHR14|519456-520778|520379-520803|508728-511303
CHR14|524706-526086|521320-521462|511475-512352
CHR14|529583-529942|523476-523767|512654-513555
CHR14|531411-531725|524375-525267|513779-515145
CHR14|532186-532659|525523-526251|515304-516580
CHR14|533870-534079|527440-527619|516916-517538
CHR14|534982-535281|530137-531528|518057-519897
CHR14|537911-538173|532897-533198|520213-521024
CHR14|539819-539911|534981-535170|521641-521900
CHR14|541881-542304|535932-536070|522147-524494
CHR14|542822-542963|537151-537964|524852-525495
CHR14|544978-545268|538628-539946|525740-526338
CHR14|545877-547094|540047-540048|526526-527487
CHR14|547113-547196|540048-540355|527784-530266
CHR14|547370-548100|541523-542325|530645-531624
CHR14|549290-549468|542326-544162|531955-533717
CHR14|551987-553380|544163-544863|534293-535959
CHR14|554750-555048|544864-545715|536242-537542
CHR14|556832-557020|545716-546371|538261-540887
CHR14|557783-557920|547215-547505|541279-541845
CHR14|559002-559814|547914-548591|542236-542855
CHR14|560479-560693|548901-549054|543096-544579
CHR14|560765-568115|550621-551429|544851-547153
CHR14|568217-568522|553467-553791|547481-549225
CHR14|569691-569867|555244-556190|549519-551290
CHR14|569940-570477|557160-557457|551748-552811
CHR14|572315-572999|557795-557960|553284-554422
CHR14|573853-574506|558044-558469|554904-555958
CHR14|575351-575640|558686-558974|556145-557022
CHR14|576050-576727|559713-560129|557345-560022
CHR14|577038-577205|563025-563293|560432-561711
CHR14|578773-579580|564764-565093|562093-565014
CHR14|581616-581920|567212-567489|565379-566752
CHR14|583374-584320|569404-574784|567069-569512
CHR14|585291-585587|576141-577278|570008-571371
CHR14|585926-586090|577504-578209|571964-573438
CHR14|586175-586602|581342-581576|573997-575510
CHR14|586820-587107|583554-583726|575833-580610
CHR14|587847-588263|585059-585525|580979-583884
CHR14|591160-591427|586249-586711|584438-584763
CHR14|592899-593227|587972-588101|585048-585584
CHR14|595347-595623|590130-590397|585586-586472
CHR14|597539-598376|591475-591978|586755-589057
CHR14|599230-599936|592888-593224|589325-590571
CHR14|601774-602312|594338-594826|607836-609463
CHR14|602385-602907|596531-596886|609510-613447
CHR14|604268-605384|597739-598085|614540-616266
CHR14|605611-606319|599052-599380|616569-617413
CHR14|609453-609686|600539-601546|617569-618836
CHR14|611665-611836|602984-603770|619607-620811
CHR14|613170-613635|603770-603840|621065-621525
CHR14|614360-614821|603840-604932|621758-624231
CHR14|616083-616211|605779-606268|624535-628223
CHR14|618241-618507|607220-607867|628482-630745
CHR14|619565-620067|608306-608910|630990-631210
CHR14|620978-621313|610777-611106|631400-631994
CHR14|622428-622915|612037-612320|632315-633753
CHR14|624621-624975|614304-614614|633968-640635
CHR14|625829-626174|615362-615668|641008-641951
CHR14|627142-627456|616116-616244|642233-643284
CHR14|628616-629622|618873-619357|643566-644566
CHR14|631061-631846|620861-620953|644769-647968
CHR14|631917-632599|623636-624391|648462-650296
CHR14|632672-633008|625028-625313|650756-651150
CHR14|633856-634344|626466-626600|651189-652909
CHR14|635297-635943|633300-634839|653467-659327
CHR14|636383-636986|635506-636196|659766-662044
CHR14|638854-639182|636869-637265|662251-665966
CHR14|640114-640396|639192-639337|666680-667731
CHR14|642381-642690|640147-640303|667852-669581
CHR14|643439-643744|641516-641700|670042-671501
CHR14|644193-644320|642118-642344|671984-672171
CHR14|646950-647432|644043-644335|672398-675579
CHR14|648937-649028|644894-645200|675949-677933
CHR14|651712-652465|646614-646848|678442-679757
CHR14|653103-653387|647800-648102|679925-680385
CHR14|654541-654673|649027-649124|680579-681165
CHR14|661374-662913|650412-650720|682156-683663
CHR14|663581-664270|652374-652615|684745-685712
CHR14|664944-665339|657353-657931|686854-690845
CHR14|667267-667410|659036-659164|692637-692706
CHR14|668222-668377|659384-659556|692706-692707
CHR14|669591-669774|661918-662241|692869-693725
CHR14|670193-670418|663205-664479|694149-696955
CHR14|672118-672409|664774-664934|697526-698646
CHR14|672969-673274|665961-666278|699642-699737
CHR14|674689-674923|666738-666977|700212-701050
CHR14|675876-676177|667251-667520|701707-702728
CHR14|677103-677199|669408-669540|703132-704777
CHR14|678488-678799|671356-671616|704930-706140
CHR14|680454-680694|672385-672467|706407-708307
CHR14|685433-686010|673584-673821|708688-710288
CHR14|687116-687243|675010-675625|710428-712001
CHR14|687464-687635|677780-678044|712365-717274
CHR14|689998-690321|679512-679693|717505-720032
CHR14|691286-692561|680099-680428|720503-722430
CHR14|692857-693019|683108-683534|722894-723201
CHR14|694047-694361|684714-684927|724389-725380
CHR14|694822-695052|685558-685952|726018-727002
CHR14|695327-695595|687291-688024|727411-728663
CHR14|697484-697614|688187-688685|729170-730062
CHR14|699431-699690|690231-691250|730152-730804
CHR14|700460-700541|692550-693024|731387-732513
CHR14|701659-701895|693840-694112|733063-734837
CHR14|703085-703699|695012-695257|735036-736295
CHR14|705876-706139|696206-700326|736529-737052
CHR14|707608-707788|702085-703518|737268-739558
CHR14|708195-708523|705202-705256|739740-740668
CHR14|711204-711630|705968-706191|740934-743647
CHR14|712811-713023|707632-708703|743742-744508
CHR14|713655-714048|710444-711851|744676-745631
CHR14|715388-716120|714009-714781|745878-746881
CHR14|716284-716780|715439-716260|746937-748333
CHR14|718327-719346|717240-718843|748624-750245
