SNP,Chr,Pos,Effect,SE,ADE17_PGM2_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
8952,13,626195,0.107669312436913,0.0738615632514336,0.145807402893025,snR83_NFR/NDR,,,Promoter,Promoter,,Promoter
8953,13,628556,0.112671688547338,0.0745677481439278,0.131683695587778,YMR184W,ADD37,SGDID:S000004796,CDS,CDS,"""Protein of unknown function; involved in ER-associated protein degradation; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and is induced in response to the DNA-damaging agent MMS; YMR184W is not an essential gene; protein abundance increases in response to DNA replication stress""",Verified ORF
8955,13,632242,0.10082136452496,0.0748323663969174,0.178749016281876,YMR186W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
8957,13,637712,0.0610797716882444,0.0741343043622073,0.41054871951289,YMR189W,GCV2,SGDID:S000004801,CDS,CDS,"""P subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; expression is regulated by levels of 5,10-methylene-THF in the cytoplasm""",Verified ORF
8958,13,639293,0.0546159364128875,0.0742364317135843,0.46240025083436,YMR189W,GCV2,SGDID:S000004801,CDS,CDS,"""P subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; expression is regulated by levels of 5,10-methylene-THF in the cytoplasm""",Verified ORF
8959,13,640192,0.088881451206825,0.0740204519803328,0.230646004509713,YMR189W,GCV2,SGDID:S000004801,CDS,CDS,"""P subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; expression is regulated by levels of 5,10-methylene-THF in the cytoplasm""",Verified ORF
8960,13,641335,0.0761594840319207,0.074823809932933,0.309445901293815,YMR190C,SGS1,SGDID:S000004802,CDS,CDS,"""RecQ family nucleolar DNA helicase; role in genome integrity maintenance ; chromosome synapsis ; meiotic joint molecule/crossover formation; stimulates activity of Top3p; rapidly lost in response to rapamycin in Rrd1p-dependent manner; forms nuclear foci upon DNA replication stress; yeast SGS1 complements mutations in human homolog BLM implicated in Bloom syndrome; also similar to human WRN implicated in Werner syndrome; human BLM and WRN can each complement yeast null mutant""",Verified ORF
8961,13,646103,0.0283397201547647,0.0745289499194052,0.70398767538746,YMR191W,SPG5,SGDID:S000004803,CDS,CDS,"""Protein required for proteasome assembly during quiescence; binds to base of the proteasome regulartory particle; required for survival at high temperature during stationary phase; not required for growth on nonfermentable carbon sources""",Verified ORF
8962,13,648377,0.0354742158656429,0.0755036511984545,0.638763409793173,YMR192W,GYL1,SGDID:S000004804,CDS,CDS,"""Putative GTPase activating protein (GAP) with a role in exocytosis; stimulates Gyp5p GAP activity on Ypt1p ; colocalizes with Gyp5p at sites of polarized growth; interacts with Gyp5p ; Rvs161p ; and Rvs167p; involved in recruiting Rvs167p to the bud tip during polarized growth; increases in abundance and relocalizes from bud neck to cytoplasm upon DNA replication stress; GYL1 has a paralog ; GYP5 ; that arose from the whole genome duplication""",Verified ORF
8963,13,649487,0.0169478017994689,0.0763430118362994,0.824445794851198,ARS1325,ARS1325,SGDID:S000118376,Other features,Replication,"""Autonomously Replicating Sequence""",ARS
8964,13,649495,0.0095168969596531,0.0765763430951123,0.901164433532524,ARS1325,ARS1325,SGDID:S000118376,Other features,Replication,"""Autonomously Replicating Sequence""",ARS
8965,13,649552,0.021984389983973,0.075367956747358,0.77069184271039,ARS1325,ARS1325,SGDID:S000118376,Other features,Replication,"""Autonomously Replicating Sequence""",ARS
8966,13,649621,0.0243990396299024,0.0756036778971144,0.747096157666397,YMR192W,GYL1,SGDID:S000004804,Close to 3'-UTR,Close to 3'-UTR,"""Putative GTPase activating protein (GAP) with a role in exocytosis; stimulates Gyp5p GAP activity on Ypt1p ; colocalizes with Gyp5p at sites of polarized growth; interacts with Gyp5p ; Rvs161p ; and Rvs167p; involved in recruiting Rvs167p to the bud tip during polarized growth; increases in abundance and relocalizes from bud neck to cytoplasm upon DNA replication stress; GYL1 has a paralog ; GYP5 ; that arose from the whole genome duplication""",Verified ORF
8969,13,649905,0.0367756411436002,0.0761184162068654,0.629297808142899,YMR193W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
8970,13,650533,0.021745948467206,0.0758862918489683,0.774617633543072,YMR193W,MRPL24,SGDID:S000004806,CDS,CDS,"""Mitochondrial ribosomal protein of the large subunit; two mitochondrial ribosomal proteins ; YmL14 and YmL24 ; have been assigned to the same gene""",Verified ORF
8973,13,653186,0.0091198952406504,0.0746609480092129,0.902849091426038,YMR194C-B,CMC4,SGDID:S000028514,Close to 3'-UTR,Close to 3'-UTR,"""Protein that localizes to the mitochondrial intermembrane space; localizes via the Mia40p-Erv1p system; contains twin cysteine-x(9)-cysteine motifs""",Verified ORF
8974,13,654641,0.0409841176457914,0.0744289356648328,0.582223544797398,YMR195W,ICY1,SGDID:S000004808,Close to 3'-UTR,Close to 3'-UTR,"""Protein of unknown function; required for viability in rich media of cells lacking mitochondrial DNA; mutants have an invasive growth defect with elongated morphology; induced by amino acid starvation; ICY1 has a paralog ; ATG41 ; that arose from the whole genome duplication""",Verified ORF
8976,13,658665,0.0360454557012782,0.0747231002896202,0.629829999421157,YMR197C,VTI1,SGDID:S000004810,CDS,CDS,"""Protein involved in cis-Golgi membrane traffic; v-SNARE that interacts with two t-SNARES ; Sed5p and Pep12p; required for multiple vacuolar sorting pathways; human homolog VTI1A can complement yeast null mutant""",Verified ORF
8977,13,659142,0.0577824519094211,0.0743166158427214,0.437374412769661,YMR197C,VTI1,SGDID:S000004810,CDS,CDS,"""Protein involved in cis-Golgi membrane traffic; v-SNARE that interacts with two t-SNARES ; Sed5p and Pep12p; required for multiple vacuolar sorting pathways; human homolog VTI1A can complement yeast null mutant""",Verified ORF
8978,13,659245,0.0616928596540646,0.0742579673921097,0.40665319857302,YMR198W_NFR/NDR,,,Promoter,Promoter,,Promoter
8979,13,659356,0.0300242375564015,0.0746280543621815,0.687693236942898,YMR198W_NFR/NDR,,,Promoter,Promoter,,Promoter
8980,13,660071,-0.0065357701626075,0.0748330108631358,0.930452322213191,YMR198W,CIK1,SGDID:S000004811,CDS,CDS,"""Kinesin-associated protein; required for both karyogamy and mitotic spindle organization ; interacts stably and specifically with Kar3p and may function to target this kinesin to a specific cellular role; locus encodes a long and short transcript with differing functions; CIK1 has a paralog ; VIK1 ; that arose from the whole genome duplication""",Verified ORF
8981,13,660769,0.0104487678445997,0.074532005255664,0.888588493690392,YMR198W,CIK1,SGDID:S000004811,CDS,CDS,"""Kinesin-associated protein; required for both karyogamy and mitotic spindle organization ; interacts stably and specifically with Kar3p and may function to target this kinesin to a specific cellular role; locus encodes a long and short transcript with differing functions; CIK1 has a paralog ; VIK1 ; that arose from the whole genome duplication""",Verified ORF
8982,13,661828,-0.0228044390654193,0.0742197479474649,0.758829951033474,YMR199W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
8983,13,661923,-0.0290003369783543,0.0741237087632922,0.69585412201606,YMR199W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
8984,13,665524,0.0067765036480818,0.0746526717232004,0.927723846575639,YMR200W,ROT1,SGDID:S000004813,Close to 3'-UTR,Close to 3'-UTR,"""Molecular chaperone involved in protein folding in ER; mutation causes defects in cell wall synthesis and lysis of autophagic bodies ; suppresses tor2 mutations ; and is synthetically lethal with kar2-1 and with rot2 mutations; involved in N-linked glycosylation and O-mannosylation; transmembrane helix Ser250 is essential for Rot1p to interact with other membrane components and exert its functional role ; avoiding exposure of Ser H-bonding group at lipid-exposed surface""",Verified ORF
8987,13,670426,0.0433896660180935,0.0756318974231951,0.566539316959709,YMR204C,INP1,SGDID:S000004817,CDS,CDS,"""Peripheral membrane protein of peroxisomes; involved in peroxisomal inheritance; recruitment to peroxisomes is mediated by interaction with Pex3p at the peroxisomal membrane; Inp1p and Pex3p tether peroxisomes to plasma membrane""",Verified ORF
8988,13,676107,0.169824559864371,0.0732906792217467,0.0210678711542858,YMR206W,YMR206W,SGDID:S000004819,CDS,CDS,"""Putative protein of unknown function; not an essential gene; YMR206W has a paralog ; YNR014W ; that arose from the whole genome duplication""",Uncharacterized ORF
8989,13,678117,0.173316102028488,0.0735938212533671,0.0190676889261192,YMR207C,HFA1,SGDID:S000004820,CDS,CDS,"""Mitochondrial acetyl-coenzyme A carboxylase; catalyzes production of malonyl-CoA in mitochondrial fatty acid biosynthesis; relocalizes from mitochondrion to cytoplasm upon DNA replication stress; genetic and comparative analysis suggests that translation begins at a non-canonical (Ile) start codon at -372 relative to the annotated start codon""",Verified ORF
8990,13,678210,0.163479335263758,0.0734579169634287,0.0266800525795339,YMR207C,HFA1,SGDID:S000004820,CDS,CDS,"""Mitochondrial acetyl-coenzyme A carboxylase; catalyzes production of malonyl-CoA in mitochondrial fatty acid biosynthesis; relocalizes from mitochondrion to cytoplasm upon DNA replication stress; genetic and comparative analysis suggests that translation begins at a non-canonical (Ile) start codon at -372 relative to the annotated start codon""",Verified ORF
8991,13,678717,0.169227272751484,0.0736124926108041,0.0220945466290392,YMR207C,HFA1,SGDID:S000004820,CDS,CDS,"""Mitochondrial acetyl-coenzyme A carboxylase; catalyzes production of malonyl-CoA in mitochondrial fatty acid biosynthesis; relocalizes from mitochondrion to cytoplasm upon DNA replication stress; genetic and comparative analysis suggests that translation begins at a non-canonical (Ile) start codon at -372 relative to the annotated start codon""",Verified ORF
8992,13,680954,0.170647590137385,0.0746817247877335,0.0229055771473148,YMR207C,HFA1,SGDID:S000004820,CDS,CDS,"""Mitochondrial acetyl-coenzyme A carboxylase; catalyzes production of malonyl-CoA in mitochondrial fatty acid biosynthesis; relocalizes from mitochondrion to cytoplasm upon DNA replication stress; genetic and comparative analysis suggests that translation begins at a non-canonical (Ile) start codon at -372 relative to the annotated start codon""",Verified ORF
8993,13,682180,0.146960923417412,0.0741668882857686,0.0483118432025027,YMR207C,HFA1,SGDID:S000004820,CDS,CDS,"""Mitochondrial acetyl-coenzyme A carboxylase; catalyzes production of malonyl-CoA in mitochondrial fatty acid biosynthesis; relocalizes from mitochondrion to cytoplasm upon DNA replication stress; genetic and comparative analysis suggests that translation begins at a non-canonical (Ile) start codon at -372 relative to the annotated start codon""",Verified ORF
8994,13,683807,0.14391664798668,0.0735737789655038,0.0512433188853903,YMR207C,HFA1,SGDID:S000004820,Close to 3'-UTR,Close to 3'-UTR,"""Mitochondrial acetyl-coenzyme A carboxylase; catalyzes production of malonyl-CoA in mitochondrial fatty acid biosynthesis; relocalizes from mitochondrion to cytoplasm upon DNA replication stress; genetic and comparative analysis suggests that translation begins at a non-canonical (Ile) start codon at -372 relative to the annotated start codon""",Verified ORF
8995,13,685087,0.133025835752024,0.0735476993987594,0.0713481190754744,YMR208W,ERG12,SGDID:S000004821,CDS,CDS,"""Mevalonate kinase; acts in the biosynthesis of isoprenoids and sterols ; including ergosterol ; from mevalonate; human MVK functionally complements the lethality of the erg12 null mutation""",Verified ORF
8996,13,685205,0.129454526846735,0.073748920025488,0.0800683276636474,YMR208W,ERG12,SGDID:S000004821,CDS,CDS,"""Mevalonate kinase; acts in the biosynthesis of isoprenoids and sterols ; including ergosterol ; from mevalonate; human MVK functionally complements the lethality of the erg12 null mutation""",Verified ORF
8997,13,687302,0.125090671213492,0.0751909369968509,0.0970717962160669,YMR210W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
8998,13,687782,0.141081799115757,0.0741022119705037,0.0577386038789901,YMR210W,MGL2,SGDID:S000004823,CDS,CDS,"""Monoacylglycerol and triacylglycerol lipase; MAG lipase with preference for palmitoyl-MAG; TAG lipase involved in TAG catabolism; minor role in medium-chain fatty acid ethyl ester biosynthesis; contains an alpha/beta hydrolase domain and a typical lipase motif (GXSXG); similar to acyltransferases ; Eeb1p ; Eht1p ; and human ABHD1""",Verified ORF
9001,13,689409,0.14475076790637,0.0736348254104771,0.0501060778008985,YMR211W,DML1,SGDID:S000004824,CDS,CDS,"""Essential protein involved in mtDNA inheritance; may also function in the partitioning of the mitochondrial organelle or in the segregation of chromosomes ; exhibits regions similar to members of a GTPase family""",Verified ORF
9002,13,692065,0.164016100720135,0.0736399896762862,0.0265593334604192,YMR212C,EFR3,SGDID:S000004825,CDS,CDS,"""Protein required for Stt4-containing PI kinase complex localization; required for Stt4-containing phosphoinositide (PI) kinase patch assembly at plasma membrane; recruited to plasma membrane via conserved basic patch near N-terminus; exhibits synthetic lethal genetic interactions with PHO85; mutations in human homolog EFR3A implicated in autism spectrum disorders""",Verified ORF
9003,13,694397,0.157181398428769,0.0733985511779295,0.0329196391282299,YMR213W,CEF1,SGDID:S000004826,CDS,CDS,"""Essential splicing factor; associated with Prp19p and the spliceosome ; contains an N-terminal c-Myb DNA binding motif necessary for cell viability but not for Prp19p association ; evolutionarily conserved and homologous to S. pombe Cdc5p""",Verified ORF
9004,13,696701,0.098502030615642,0.074914328244228,0.189409713492554,YMR215W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
9005,13,696745,0.0886627483193794,0.0743451634733402,0.233833904685676,YMR215W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
9006,13,696957,0.0704040154985927,0.0740767504113139,0.342549204037886,YMR215W,GAS3,SGDID:S000004828,CDS,CDS,"""Putative 1,3-beta-glucanosyltransferase; has similarity go other GAS family members; low abundance ; possibly inactive member of the GAS family of GPI-containing proteins; localizes to the cell wall; mRNA induced during sporulation""",Verified ORF
9007,13,697086,0.0521780337203943,0.0740666270127415,0.481601959253805,YMR215W,GAS3,SGDID:S000004828,CDS,CDS,"""Putative 1,3-beta-glucanosyltransferase; has similarity go other GAS family members; low abundance ; possibly inactive member of the GAS family of GPI-containing proteins; localizes to the cell wall; mRNA induced during sporulation""",Verified ORF
9008,13,697107,0.0682126450530049,0.0741532108564595,0.358259489832203,YMR215W,GAS3,SGDID:S000004828,CDS,CDS,"""Putative 1,3-beta-glucanosyltransferase; has similarity go other GAS family members; low abundance ; possibly inactive member of the GAS family of GPI-containing proteins; localizes to the cell wall; mRNA induced during sporulation""",Verified ORF
9009,13,697269,0.0503823878738737,0.0744441217269036,0.498987971683714,YMR215W,GAS3,SGDID:S000004828,CDS,CDS,"""Putative 1,3-beta-glucanosyltransferase; has similarity go other GAS family members; low abundance ; possibly inactive member of the GAS family of GPI-containing proteins; localizes to the cell wall; mRNA induced during sporulation""",Verified ORF
9010,13,698336,0.0317671225483681,0.0744755926902596,0.669971443801623,YMR215W,GAS3,SGDID:S000004828,CDS,CDS,"""Putative 1,3-beta-glucanosyltransferase; has similarity go other GAS family members; low abundance ; possibly inactive member of the GAS family of GPI-containing proteins; localizes to the cell wall; mRNA induced during sporulation""",Verified ORF
9011,13,698372,0.0316334179194879,0.0750038040818645,0.673458742606049,YMR215W,GAS3,SGDID:S000004828,Close to 3'-UTR,Close to 3'-UTR,"""Putative 1,3-beta-glucanosyltransferase; has similarity go other GAS family members; low abundance ; possibly inactive member of the GAS family of GPI-containing proteins; localizes to the cell wall; mRNA induced during sporulation""",Verified ORF
9013,13,698530,0.0489707134472188,0.0765433496991366,0.522732251674717,YMR215W,GAS3,SGDID:S000004828,Close to 3'-UTR,Close to 3'-UTR,"""Putative 1,3-beta-glucanosyltransferase; has similarity go other GAS family members; low abundance ; possibly inactive member of the GAS family of GPI-containing proteins; localizes to the cell wall; mRNA induced during sporulation""",Verified ORF
9015,13,698569,0.0470688888821529,0.076546729562028,0.539014298345007,YMR215W,GAS3,SGDID:S000004828,Close to 3'-UTR,Close to 3'-UTR,"""Putative 1,3-beta-glucanosyltransferase; has similarity go other GAS family members; low abundance ; possibly inactive member of the GAS family of GPI-containing proteins; localizes to the cell wall; mRNA induced during sporulation""",Verified ORF
9016,13,698595,0.0375631438777861,0.0756863009002981,0.619991349065558,YMR215W,GAS3,SGDID:S000004828,Close to 3'-UTR,Close to 3'-UTR,"""Putative 1,3-beta-glucanosyltransferase; has similarity go other GAS family members; low abundance ; possibly inactive member of the GAS family of GPI-containing proteins; localizes to the cell wall; mRNA induced during sporulation""",Verified ORF
9020,13,698828,0.0407639002663224,0.0744292782599444,0.584253405984513,YMR216C,SKY1,SGDID:S000004829,CDS,CDS,"""SR protein kinase (SRPK); involved in mRNA 3' splice site recognition with Prp8p and Cdc40p; phosphorylates one or more SR dipeptides on mRNA export factors Npl3p and Gbp2p to stimulate cytoplasmic release of mRNA and Mtr10p-mediated nuclear reimport; component of stress granules that regulates granule disassembly during recovery from stress; modulates cation uptake and homeostasis through membrane transporters; contains prion-like domains; similar to human SRPK1""",Verified ORF
9021,13,698850,0.0422025086350566,0.074478177757364,0.571317119618501,YMR216C,SKY1,SGDID:S000004829,CDS,CDS,"""SR protein kinase (SRPK); involved in mRNA 3' splice site recognition with Prp8p and Cdc40p; phosphorylates one or more SR dipeptides on mRNA export factors Npl3p and Gbp2p to stimulate cytoplasmic release of mRNA and Mtr10p-mediated nuclear reimport; component of stress granules that regulates granule disassembly during recovery from stress; modulates cation uptake and homeostasis through membrane transporters; contains prion-like domains; similar to human SRPK1""",Verified ORF
9023,13,699315,0.0405655907767883,0.0744807543671703,0.586341405379714,YMR216C,SKY1,SGDID:S000004829,CDS,CDS,"""SR protein kinase (SRPK); involved in mRNA 3' splice site recognition with Prp8p and Cdc40p; phosphorylates one or more SR dipeptides on mRNA export factors Npl3p and Gbp2p to stimulate cytoplasmic release of mRNA and Mtr10p-mediated nuclear reimport; component of stress granules that regulates granule disassembly during recovery from stress; modulates cation uptake and homeostasis through membrane transporters; contains prion-like domains; similar to human SRPK1""",Verified ORF
9024,13,699415,0.0295750632200042,0.0749242630573344,0.693278491893326,YMR216C,SKY1,SGDID:S000004829,CDS,CDS,"""SR protein kinase (SRPK); involved in mRNA 3' splice site recognition with Prp8p and Cdc40p; phosphorylates one or more SR dipeptides on mRNA export factors Npl3p and Gbp2p to stimulate cytoplasmic release of mRNA and Mtr10p-mediated nuclear reimport; component of stress granules that regulates granule disassembly during recovery from stress; modulates cation uptake and homeostasis through membrane transporters; contains prion-like domains; similar to human SRPK1""",Verified ORF
9027,13,699680,0.0094855799440004,0.075444473949717,0.900017793426879,YMR216C,SKY1,SGDID:S000004829,CDS,CDS,"""SR protein kinase (SRPK); involved in mRNA 3' splice site recognition with Prp8p and Cdc40p; phosphorylates one or more SR dipeptides on mRNA export factors Npl3p and Gbp2p to stimulate cytoplasmic release of mRNA and Mtr10p-mediated nuclear reimport; component of stress granules that regulates granule disassembly during recovery from stress; modulates cation uptake and homeostasis through membrane transporters; contains prion-like domains; similar to human SRPK1""",Verified ORF
9028,13,699822,0.0347223204338946,0.0746222807536854,0.641998055447251,YMR216C,SKY1,SGDID:S000004829,CDS,CDS,"""SR protein kinase (SRPK); involved in mRNA 3' splice site recognition with Prp8p and Cdc40p; phosphorylates one or more SR dipeptides on mRNA export factors Npl3p and Gbp2p to stimulate cytoplasmic release of mRNA and Mtr10p-mediated nuclear reimport; component of stress granules that regulates granule disassembly during recovery from stress; modulates cation uptake and homeostasis through membrane transporters; contains prion-like domains; similar to human SRPK1""",Verified ORF
9029,13,699971,0.0314735515092388,0.0744420487823381,0.672703977646866,YMR216C,SKY1,SGDID:S000004829,CDS,CDS,"""SR protein kinase (SRPK); involved in mRNA 3' splice site recognition with Prp8p and Cdc40p; phosphorylates one or more SR dipeptides on mRNA export factors Npl3p and Gbp2p to stimulate cytoplasmic release of mRNA and Mtr10p-mediated nuclear reimport; component of stress granules that regulates granule disassembly during recovery from stress; modulates cation uptake and homeostasis through membrane transporters; contains prion-like domains; similar to human SRPK1""",Verified ORF
9030,13,701153,-0.0287570767471886,0.0748441173400718,0.701042088747166,YMR216C,SKY1,SGDID:S000004829,Close to 3'-UTR,Close to 3'-UTR,"""SR protein kinase (SRPK); involved in mRNA 3' splice site recognition with Prp8p and Cdc40p; phosphorylates one or more SR dipeptides on mRNA export factors Npl3p and Gbp2p to stimulate cytoplasmic release of mRNA and Mtr10p-mediated nuclear reimport; component of stress granules that regulates granule disassembly during recovery from stress; modulates cation uptake and homeostasis through membrane transporters; contains prion-like domains; similar to human SRPK1""",Verified ORF
9031,13,702308,-0.114907102860773,0.0743270205820929,0.123008600687854,YMR217W,GUA1,SGDID:S000004830,CDS,CDS,"""GMP synthase; highly conserved enzyme that catalyzes the second step in the biosynthesis of GMP from inosine 5'-phosphate (IMP); transcription is not subject to regulation by guanine but is negatively regulated by nutrient starvation; reduction-of-function mutation gua1-G388D causes changes in cellular guanine nucleotide pools ; defects in general protein synthesis ; and impaired translation of GCN4 mRNA""",Verified ORF
9032,13,702551,-0.0924320592077874,0.0741592527332346,0.213444221994777,YMR217W,GUA1,SGDID:S000004830,CDS,CDS,"""GMP synthase; highly conserved enzyme that catalyzes the second step in the biosynthesis of GMP from inosine 5'-phosphate (IMP); transcription is not subject to regulation by guanine but is negatively regulated by nutrient starvation; reduction-of-function mutation gua1-G388D causes changes in cellular guanine nucleotide pools ; defects in general protein synthesis ; and impaired translation of GCN4 mRNA""",Verified ORF
9033,13,702563,-0.09917455056498,0.0742622472417145,0.182585025292699,YMR217W,GUA1,SGDID:S000004830,CDS,CDS,"""GMP synthase; highly conserved enzyme that catalyzes the second step in the biosynthesis of GMP from inosine 5'-phosphate (IMP); transcription is not subject to regulation by guanine but is negatively regulated by nutrient starvation; reduction-of-function mutation gua1-G388D causes changes in cellular guanine nucleotide pools ; defects in general protein synthesis ; and impaired translation of GCN4 mRNA""",Verified ORF
9034,13,702605,-0.0946226917985255,0.0745357368904535,0.205101124150475,YMR217W,GUA1,SGDID:S000004830,CDS,CDS,"""GMP synthase; highly conserved enzyme that catalyzes the second step in the biosynthesis of GMP from inosine 5'-phosphate (IMP); transcription is not subject to regulation by guanine but is negatively regulated by nutrient starvation; reduction-of-function mutation gua1-G388D causes changes in cellular guanine nucleotide pools ; defects in general protein synthesis ; and impaired translation of GCN4 mRNA""",Verified ORF
9035,13,702665,-0.0848923820755798,0.0747069575160175,0.256585821503778,YMR217W,GUA1,SGDID:S000004830,CDS,CDS,"""GMP synthase; highly conserved enzyme that catalyzes the second step in the biosynthesis of GMP from inosine 5'-phosphate (IMP); transcription is not subject to regulation by guanine but is negatively regulated by nutrient starvation; reduction-of-function mutation gua1-G388D causes changes in cellular guanine nucleotide pools ; defects in general protein synthesis ; and impaired translation of GCN4 mRNA""",Verified ORF
9036,13,704115,-0.100075080651989,0.0741311451060807,0.177889465457885,YMR218C,TRS130,SGDID:S000004831,CDS,CDS,"""Component of transport protein particle (TRAPP) complex II; TRAPPII is a multimeric guanine nucleotide-exchange factor for the GTPase Ypt1p ; regulating intra-Golgi and endosome-Golgi traffic""",Verified ORF
9037,13,704389,-0.11356955056009,0.0746444123532705,0.129036105594127,YMR218C,TRS130,SGDID:S000004831,CDS,CDS,"""Component of transport protein particle (TRAPP) complex II; TRAPPII is a multimeric guanine nucleotide-exchange factor for the GTPase Ypt1p ; regulating intra-Golgi and endosome-Golgi traffic""",Verified ORF
9038,13,704907,-0.101700367773043,0.0745117332816765,0.173156734365899,YMR218C,TRS130,SGDID:S000004831,CDS,CDS,"""Component of transport protein particle (TRAPP) complex II; TRAPPII is a multimeric guanine nucleotide-exchange factor for the GTPase Ypt1p ; regulating intra-Golgi and endosome-Golgi traffic""",Verified ORF
9039,13,705664,-0.0854251104376099,0.0749219605374837,0.254981057202268,YMR218C,TRS130,SGDID:S000004831,CDS,CDS,"""Component of transport protein particle (TRAPP) complex II; TRAPPII is a multimeric guanine nucleotide-exchange factor for the GTPase Ypt1p ; regulating intra-Golgi and endosome-Golgi traffic""",Verified ORF
9040,13,706506,-0.0726793610015456,0.074498154390058,0.329937705868972,YMR218C,TRS130,SGDID:S000004831,CDS,CDS,"""Component of transport protein particle (TRAPP) complex II; TRAPPII is a multimeric guanine nucleotide-exchange factor for the GTPase Ypt1p ; regulating intra-Golgi and endosome-Golgi traffic""",Verified ORF
9041,13,706623,-0.0701457317527321,0.074045714360571,0.344118652798589,YMR218C,TRS130,SGDID:S000004831,CDS,CDS,"""Component of transport protein particle (TRAPP) complex II; TRAPPII is a multimeric guanine nucleotide-exchange factor for the GTPase Ypt1p ; regulating intra-Golgi and endosome-Golgi traffic""",Verified ORF
9042,13,707792,-0.0829223654089818,0.0740983475096384,0.263864695166504,YMR219W,ESC1,SGDID:S000004832,CDS,CDS,"""Protein involved in telomeric silencing; required for quiescent cell telomere hypercluster localization at nuclear membrane vicinity; interacts with PAD4-domain of Sir4p""",Verified ORF
9043,13,708814,-0.102783747668687,0.0743037833230501,0.167449905072766,YMR219W,ESC1,SGDID:S000004832,CDS,CDS,"""Protein involved in telomeric silencing; required for quiescent cell telomere hypercluster localization at nuclear membrane vicinity; interacts with PAD4-domain of Sir4p""",Verified ORF
9044,13,709176,-0.0603678870443386,0.0742971639697025,0.417041275415175,YMR219W,ESC1,SGDID:S000004832,CDS,CDS,"""Protein involved in telomeric silencing; required for quiescent cell telomere hypercluster localization at nuclear membrane vicinity; interacts with PAD4-domain of Sir4p""",Verified ORF
9045,13,711296,-0.0785902000988545,0.0741117214360331,0.28967459604023,YMR219W,ESC1,SGDID:S000004832,CDS,CDS,"""Protein involved in telomeric silencing; required for quiescent cell telomere hypercluster localization at nuclear membrane vicinity; interacts with PAD4-domain of Sir4p""",Verified ORF
9046,13,711505,-0.0894758001780588,0.0741405306152716,0.228301652906001,YMR219W,ESC1,SGDID:S000004832,CDS,CDS,"""Protein involved in telomeric silencing; required for quiescent cell telomere hypercluster localization at nuclear membrane vicinity; interacts with PAD4-domain of Sir4p""",Verified ORF
9047,13,711844,-0.0914124841021875,0.0741338374985322,0.218368776459704,YMR219W,ESC1,SGDID:S000004832,CDS,CDS,"""Protein involved in telomeric silencing; required for quiescent cell telomere hypercluster localization at nuclear membrane vicinity; interacts with PAD4-domain of Sir4p""",Verified ORF
9048,13,714847,-0.0729166711112211,0.0743056058655692,0.327113043520697,YMR221C,FMP42,SGDID:S000004834,CDS,CDS,"""Putative protein of unknown function; the authentic ; non-tagged protein is detected in highly purified mitochondria in high-throughput studies; physical interaction with Atg27p suggests a possible role in autophagy""",Uncharacterized ORF
9049,13,716963,-0.0932690615476949,0.0737068013661257,0.206560273080002,YMR223W,UBP8,SGDID:S000004836,CDS,CDS,"""Ubiquitin-specific protease component of the SAGA acetylation complex; required for SAGA (Spt-Ada-Gcn5-Acetyltransferase)-mediated deubiquitination of histone H2B""",Verified ORF
9050,13,718591,-0.0958296427450631,0.0744575042957855,0.198924311546002,YMR224C,MRE11,SGDID:S000004837,CDS,CDS,"""Nuclease subunit of the MRX complex with Rad50p and Xrs2p; complex functions in repair of DNA double-strand breaks and in telomere stability; Mre11p associates with Ser/Thr-rich ORFs in premeiotic phase; nuclease activity required for MRX function; widely conserved; forms nuclear foci upon DNA replication stress""",Verified ORF
9051,13,719243,-0.0995534813202369,0.075259245905246,0.18675574779268,YMR224C,MRE11,SGDID:S000004837,CDS,CDS,"""Nuclease subunit of the MRX complex with Rad50p and Xrs2p; complex functions in repair of DNA double-strand breaks and in telomere stability; Mre11p associates with Ser/Thr-rich ORFs in premeiotic phase; nuclease activity required for MRX function; widely conserved; forms nuclear foci upon DNA replication stress""",Verified ORF
9052,13,720765,-0.0502642530245526,0.0740639270902041,0.497797747876106,YMR224C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
9054,13,721239,-0.0487140244299564,0.0741631822364488,0.511705899048271,XUT_13F-315,,,Unstable transcript,XUT,ncRNA_TFO,Unstable transcript
9055,13,721409,-0.0266135227673638,0.0745206188396205,0.721208147819039,XUT_13F-315,,,Unstable transcript,XUT,ncRNA_TFO,Unstable transcript
