SNP,Chr,Pos,Effect,SE,FMP45_MEP1_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
9654,14,553785,-0.0362546244147779,0.0575750724920117,0.52930275796179,YNL040W,YNL040W,SGDID:S000004985,CDS,CDS,"""Protein of unknown function; has strong similarity to alanyl-tRNA synthases from Eubacteria; null mutant displays decreased translation rate and increased readthrough of premature stop codons; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YNL040W is not an essential gene""",Verified ORF
9657,14,558289,-0.0101599069591988,0.0576211423237961,0.860141655922826,YNL037C,IDH1,SGDID:S000004982,CDS,CDS,"""Subunit of mitochondrial NAD(+)-dependent isocitrate dehydrogenase; complex catalyzes the oxidation of isocitrate to alpha-ketoglutarate in the TCA cycle""",Verified ORF
9658,14,559885,0.0315681185046858,0.0580994123114564,0.587234123461965,YNL036W,NCE103,SGDID:S000004981,CDS,CDS,"""Carbonic anhydrase; metalloenzyme that catalyzes CO2 hydration to bicarbonate ; which is an important metabolic substrate ; and protons; not expressed under conditions of high CO2 ; such as inside a growing colony ; but transcription is induced in response to low CO2 levels ; such as on the colony surface in ambient air; poorly transcribed under aerobic conditions and at an undetectable level under anaerobic conditions; abundance increases in response to DNA replication stress""",Verified ORF
9659,14,560313,0.0491808558087241,0.057630429482213,0.39402537606777,YNL036W,NCE103,SGDID:S000004981,CDS,CDS,"""Carbonic anhydrase; metalloenzyme that catalyzes CO2 hydration to bicarbonate ; which is an important metabolic substrate ; and protons; not expressed under conditions of high CO2 ; such as inside a growing colony ; but transcription is induced in response to low CO2 levels ; such as on the colony surface in ambient air; poorly transcribed under aerobic conditions and at an undetectable level under anaerobic conditions; abundance increases in response to DNA replication stress""",Verified ORF
9663,14,560773,0.0498499629927605,0.0582297531454768,0.392528224526811,tT(AGU)N2_NFR/NDR,,,Promoter,Promoter,,Promoter
9670,14,568858,0.0577968721461225,0.0576911476245833,0.317110689050193,YNL035C,YNL035C,SGDID:S000004980,CDS,CDS,"""Nuclear protein of unknown function; relocalizes to the cytosol in response to hypoxia; contains WD-40 domains; not an essential gene; protein abundance increases in response to DNA replication stress""",Verified ORF
9671,14,568966,0.0650247584901552,0.0577535762985641,0.260972667559316,YNL035C,YNL035C,SGDID:S000004980,CDS,CDS,"""Nuclear protein of unknown function; relocalizes to the cytosol in response to hypoxia; contains WD-40 domains; not an essential gene; protein abundance increases in response to DNA replication stress""",Verified ORF
9672,14,568996,0.0601195245227018,0.0576010367235028,0.297327811115453,YNL035C,YNL035C,SGDID:S000004980,CDS,CDS,"""Nuclear protein of unknown function; relocalizes to the cytosol in response to hypoxia; contains WD-40 domains; not an essential gene; protein abundance increases in response to DNA replication stress""",Verified ORF
9673,14,569044,0.0541389973019806,0.0576178375149067,0.348053900351937,YNL035C,YNL035C,SGDID:S000004980,CDS,CDS,"""Nuclear protein of unknown function; relocalizes to the cytosol in response to hypoxia; contains WD-40 domains; not an essential gene; protein abundance increases in response to DNA replication stress""",Verified ORF
9694,14,574170,-0.0341109500614887,0.0579136369689121,0.556240103503674,YNL032W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
9696,14,574697,-0.0301111691363631,0.0575887200320943,0.601395699144027,YNL032W,SIW14,SGDID:S000004977,CDS,CDS,"""Inositol phosphatase involved in inositol pyrophosphate metabolism; hydrolyzes the beta-phosphate from the 5-diphosphate group of PP-InsPs including: 5PP-IP5 (IP7) ; 1,5PP-IP4 (IP8) and 5-PP-InsP4; functions as an anti-prion (anti-[PSI]) component; member of the atypical dual-specificity subgroup of the protein tyrosine-phosphatase (PTP) superfamily; localizes to the cytoplasm""",Verified ORF
9698,14,576990,-0.0343731826799819,0.05843085799951,0.55672654676032,YNL030W,HHF2,SGDID:S000004975,CDS,CDS,"""Histone H4; core histone protein required for chromatin assembly and chromosome function; one of two identical histone proteins (see also HHF1); contributes to telomeric silencing; N-terminal domain involved in maintaining genomic integrity""",Verified ORF
9699,14,577297,-0.0213839433172344,0.0581516058717029,0.713296832846813,YNL029C,KTR5,SGDID:S000004974,CDS,CDS,"""Putative mannosyltransferase involved in protein glycosylation; member of the KRE2/MNT1 mannosyltransferase family; KTR5 has a paralog ; KTR7 ; that arose from the whole genome duplication""",Verified ORF
9700,14,579044,0.002681551023328,0.0576235029379465,0.962909582073637,CUT341,,,Unstable transcript,CUT,ncRNA_UNB,Unstable transcript
9701,14,579920,-0.0092535446204018,0.0676041961075016,0.891205057080805,YNL027W,CRZ1,SGDID:S000004972,CDS,CDS,"""Transcription factor ; activates transcription of stress response genes; nuclear localization is positively regulated by calcineurin-mediated dephosphorylation; rapidly localizes to the nucleus under blue light stress; can be activated in stochastic pulses of nuclear localization in response to calcium""",Verified ORF
9704,14,582958,0.0694207116192527,0.0575759503784213,0.228731442913871,YNL026W,SAM50,SGDID:S000004971,CDS,CDS,"""Component of the Sorting and Assembly Machinery (SAM) complex; the SAM (or TOB) complex is located in the mitochondrial outer membrane; the complex binds precursors of beta-barrel proteins and facilitates their outer membrane insertion; homologous to bacterial Omp85""",Verified ORF
9705,14,584861,0.0476286152575193,0.0576386674312852,0.409174536791147,YNL025C,SSN8,SGDID:S000004970,CDS,CDS,"""Cyclin-like component of RNA polymerase II holoenzyme; involved in phosphorylation of RNAPII C-terminal domain; forms kinase-cyclin pair in RNAPII holoenzyme with Ssn3p; needed for entry into and execution of meiotic program; involved in glucose repression ; telomere maintenance; degraded in response to nitrogen starvation ; and also to oxidative stress ; but in different cellular compartments ; and with different cellular outcomes; 35% identical to human cyclin C""",Verified ORF
9706,14,587028,0.0579735172615524,0.058447665275063,0.32193174234017,YNL024C-A_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
9707,14,589847,0.0846566622018938,0.05746722371304,0.141607219572921,YNL023C,FAP1,SGDID:S000004968,CDS,CDS,"""Protein that binds to Fpr1p; confers rapamycin resistance by competing with rapamycin for Fpr1p binding; accumulates in the nucleus upon treatment of cells with rapamycin; has similarity to D. melanogaster shuttle craft and human NFX1""",Verified ORF
9708,14,590547,0.07371111467737,0.0575672140470278,0.201232660410995,YNL023C,FAP1,SGDID:S000004968,CDS,CDS,"""Protein that binds to Fpr1p; confers rapamycin resistance by competing with rapamycin for Fpr1p binding; accumulates in the nucleus upon treatment of cells with rapamycin; has similarity to D. melanogaster shuttle craft and human NFX1""",Verified ORF
9709,14,591136,0.0814694176651486,0.0575075425088899,0.157460251566016,YNL023C,FAP1,SGDID:S000004968,CDS,CDS,"""Protein that binds to Fpr1p; confers rapamycin resistance by competing with rapamycin for Fpr1p binding; accumulates in the nucleus upon treatment of cells with rapamycin; has similarity to D. melanogaster shuttle craft and human NFX1""",Verified ORF
9710,14,591302,0.0714193980537884,0.0586483277214665,0.224129781460365,YNL023C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
9711,14,591601,0.0821984637805537,0.0575428478916674,0.154039655857051,YNL022C,RCM1,SGDID:S000004967,CDS,CDS,"""rRNA m5C methyltransferase; methylates cytosine at position 2278 of 25S rRNA while Nop2p methylates cytosine at position 2870; contains seven beta-strand methyltransferase motif; localized to the nucleolus; interacts with Trm112p; homolog of NSUN5A ; a human gene which is deleted in Williams-Beuren Syndrome""",Verified ORF
9712,14,592119,0.0755446683516279,0.0575604800908913,0.190224463855458,YNL022C,RCM1,SGDID:S000004967,CDS,CDS,"""rRNA m5C methyltransferase; methylates cytosine at position 2278 of 25S rRNA while Nop2p methylates cytosine at position 2870; contains seven beta-strand methyltransferase motif; localized to the nucleolus; interacts with Trm112p; homolog of NSUN5A ; a human gene which is deleted in Williams-Beuren Syndrome""",Verified ORF
9713,14,592657,0.0757351578834636,0.058047156740282,0.192838893547758,YNL022C,RCM1,SGDID:S000004967,CDS,CDS,"""rRNA m5C methyltransferase; methylates cytosine at position 2278 of 25S rRNA while Nop2p methylates cytosine at position 2870; contains seven beta-strand methyltransferase motif; localized to the nucleolus; interacts with Trm112p; homolog of NSUN5A ; a human gene which is deleted in Williams-Beuren Syndrome""",Verified ORF
9714,14,593538,0.0614375820624117,0.0576804886828757,0.287542259573775,YNL021W,HDA1,SGDID:S000004966,CDS,CDS,"""Putative catalytic subunit of a class II histone deacetylase complex; role in azole resistance via Hsp90p ; and in the heat shock response; Hda1p interacts with the Hda2p-Hda3p subcomplex to form an active tetramer; deletion increases histone H2B ; H3 and H4 acetylation; other members of the HDA1 histone deacetylase complex are Hda2p and Hda3p""",Verified ORF
9748,14,602807,-0.0369971412369908,0.0583207286530923,0.526247806904578,YNL016W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
9749,14,602854,-0.0452547966591653,0.0583914194894326,0.438843863945131,YNL016W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
9755,14,607186,-0.0607516789607188,0.0579237937700793,0.294978149461277,YNL014W,HEF3,SGDID:S000004959,CDS,CDS,"""Translational elongation factor EF-3; member of the ABC superfamily; stimulates EF-1 alpha-dependent binding of aminoacyl-tRNA by the ribosome; normally expressed in zinc deficient cells; HEF3 has a paralog ; YEF3 ; that arose from the whole genome duplication""",Verified ORF
9756,14,607236,-0.0468646558855466,0.0575533724236332,0.416032574344721,YNL014W,HEF3,SGDID:S000004959,CDS,CDS,"""Translational elongation factor EF-3; member of the ABC superfamily; stimulates EF-1 alpha-dependent binding of aminoacyl-tRNA by the ribosome; normally expressed in zinc deficient cells; HEF3 has a paralog ; YEF3 ; that arose from the whole genome duplication""",Verified ORF
9757,14,607577,-0.0453671173040848,0.0577226220897809,0.432423796646427,YNL014W,HEF3,SGDID:S000004959,CDS,CDS,"""Translational elongation factor EF-3; member of the ABC superfamily; stimulates EF-1 alpha-dependent binding of aminoacyl-tRNA by the ribosome; normally expressed in zinc deficient cells; HEF3 has a paralog ; YEF3 ; that arose from the whole genome duplication""",Verified ORF
9758,14,607767,-0.029302360541262,0.0575844752729028,0.611169176219918,YNL014W,HEF3,SGDID:S000004959,CDS,CDS,"""Translational elongation factor EF-3; member of the ABC superfamily; stimulates EF-1 alpha-dependent binding of aminoacyl-tRNA by the ribosome; normally expressed in zinc deficient cells; HEF3 has a paralog ; YEF3 ; that arose from the whole genome duplication""",Verified ORF
9759,14,611236,-0.0567410615789371,0.0582757620761706,0.330889695741831,YNL012W,SPO1,SGDID:S000004957,Close to 3'-UTR,Close to 3'-UTR,"""Meiosis-specific prospore protein; required for meiotic spindle pole body duplication and separation; required to produce bending force necessary for proper prospore membrane assembly during sporulation; has similarity to phospholipase B""",Verified ORF
9760,14,613306,-0.0919613891013409,0.0576562082271407,0.111608137584072,YNL011C,YNL011C,SGDID:S000004956,Close to 3'-UTR,Close to 3'-UTR,"""Putative protein of unknown function; YNL011C is not an essential gene""",Uncharacterized ORF
9761,14,613773,-0.0739603131275423,0.0577185204304104,0.200895501237851,YNL010W,PYP1,SGDID:S000004955,CDS,CDS,"""Sugar alcohol phosphatase; polyol phosphatase that hydrolyzes sorbitol-6-phosphate ; ribitol-5-phosphate ; and (D)-glycerol-3-phosphate ; maintaining phosphoglucose isomerase (PGI) activity in the presence of PGI-inhibitory sugar alcohols; expression correlated with growth rate; GFP-fusion protein localizes to the cytoplasm and nucleus; homozygous diploid mutant displays increased glycogen accumulation; member of the haloacid dehalogenase (HAD) superfamily""",Verified ORF
9762,14,614340,-0.0992485881912956,0.057610929791494,0.0858115594360909,YNL010W,PYP1,SGDID:S000004955,CDS,CDS,"""Sugar alcohol phosphatase; polyol phosphatase that hydrolyzes sorbitol-6-phosphate ; ribitol-5-phosphate ; and (D)-glycerol-3-phosphate ; maintaining phosphoglucose isomerase (PGI) activity in the presence of PGI-inhibitory sugar alcohols; expression correlated with growth rate; GFP-fusion protein localizes to the cytoplasm and nucleus; homozygous diploid mutant displays increased glycogen accumulation; member of the haloacid dehalogenase (HAD) superfamily""",Verified ORF
9763,14,616988,-0.119629482830996,0.0579187678328307,0.039608025100861,ARS1425,ARS1425,SGDID:S000130144,Other features,Replication,"""Putative replication origin; identified in multiple array studies ; not yet confirmed by plasmid-based assay""",ARS
9765,14,619153,-0.078232320694097,0.057619200497953,0.175411121157525,YNL007C,SIS1,SGDID:S000004952,CDS,CDS,"""Type II HSP40 co-chaperone that interacts with the HSP70 protein Ssa1p; shuttles between cytosol and nucleus; mediates delivery of misfolded proteins into the nucleus for degradation; involved in proteasomal degradation of misfolded cytosolic proteins; protein abundance increases in response to DNA replication stress; polyQ aggregates sequester Sis1p and interfere with clearance of misfolded proteins; similar to bacterial DnaJ proteins and mammalian DnaJB1""",Verified ORF
9767,14,620369,-0.0784264154949351,0.0575359024175518,0.173724035406905,YNL006W,LST8,SGDID:S000004951,CDS,CDS,"""Protein required for the transport of Gap1p; required for the transport of amino acid permease Gap1p from the Golgi to the cell surface; component of the TOR signaling pathway; associates with both Tor1p and Tor2p; contains a WD-repeat""",Verified ORF
9768,14,621027,-0.101934085945564,0.0582656352425709,0.0810785003742989,YNL006W,LST8,SGDID:S000004951,Close to 3'-UTR,Close to 3'-UTR,"""Protein required for the transport of Gap1p; required for the transport of amino acid permease Gap1p from the Golgi to the cell surface; component of the TOR signaling pathway; associates with both Tor1p and Tor2p; contains a WD-repeat""",Verified ORF
9769,14,623405,-0.113394705536951,0.0572903703259582,0.0485590711113738,YNL005C,MRP7,SGDID:S000004950,Close to 3'-UTR,Close to 3'-UTR,"""Mitochondrial ribosomal protein of the large subunit; involved together with Mrpl35p in assembly of cytochrome c oxidase""",Verified ORF
9770,14,623501,-0.112191594874585,0.0573799730791971,0.0513435261400537,YNL004W,HRB1,SGDID:S000004949,Close to 3'-UTR,Close to 3'-UTR,"""Poly(A+) RNA-binding protein; key surveillance factor for the selective export of spliced mRNAs from the nucleus to the cytoplasm; preference for intron-containing genes; similar to Npl3p; HRB1 has a paralog ; GBP2 ; that arose from the whole genome duplication""",Verified ORF
9771,14,625808,-0.0983905991977616,0.0576994101471238,0.0890318214157604,YNL003C,PET8,SGDID:S000004948,CDS,CDS,"""S-adenosylmethionine transporter of the mitochondrial inner membrane; member of the mitochondrial carrier family; required for biotin biosynthesis and respiratory growth""",Verified ORF
9772,14,625901,-0.100526882952778,0.0577667153152871,0.0826915822075943,YNL003C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
9773,14,625946,-0.107101143711073,0.0577360197275155,0.0644277425542596,YNL003C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
9779,14,629098,-0.103020744490669,0.0584279744216659,0.078730356158627,YNL001W,DOM34,SGDID:S000004946,Close to 3'-UTR,Close to 3'-UTR,"""Protein that facilitates ribosomal subunit dissociation; Dom34-Hbs1 complex and Rli1p have roles in dissociating inactive ribosomes to facilitate translation restart ; particularly ribosomes stalled in 3' UTRs; required for RNA cleavage in no-go decay ; but reports conflict on endonuclease activity; Pelota ortholog; protein abundance increases in response to DNA replication stress; DOM34 has a paralog ; YCL001W-B ; that arose from the whole genome duplication""",Verified ORF
9780,14,629832,-0.102739260581656,0.0574346622601583,0.0745039955172871,YNR001C,CIT1,SGDID:S000005284,CDS,CDS,"""Mitochondrial citrate synthase; catalyzes condensation of acetyl coenzyme A and oxaloacetate to form citrate ; which is the first and rate-limiting step of the TCA cycle; transcription subject to glucose repression; CIT1 has a paralog ; CIT2 ; that arose from the whole genome duplication""",Verified ORF
9781,14,630700,-0.113287594141104,0.0572909706208991,0.0487731469997053,YNR001C,CIT1,SGDID:S000005284,CDS,CDS,"""Mitochondrial citrate synthase; catalyzes condensation of acetyl coenzyme A and oxaloacetate to form citrate ; which is the first and rate-limiting step of the TCA cycle; transcription subject to glucose repression; CIT1 has a paralog ; CIT2 ; that arose from the whole genome duplication""",Verified ORF
9782,14,630751,-0.113578703365572,0.0575322146649084,0.0491409740542881,YNR001C,CIT1,SGDID:S000005284,CDS,CDS,"""Mitochondrial citrate synthase; catalyzes condensation of acetyl coenzyme A and oxaloacetate to form citrate ; which is the first and rate-limiting step of the TCA cycle; transcription subject to glucose repression; CIT1 has a paralog ; CIT2 ; that arose from the whole genome duplication""",Verified ORF
9783,14,630753,-0.113578703365572,0.0575322146649084,0.0491409740542881,YNR001C,CIT1,SGDID:S000005284,CDS,CDS,"""Mitochondrial citrate synthase; catalyzes condensation of acetyl coenzyme A and oxaloacetate to form citrate ; which is the first and rate-limiting step of the TCA cycle; transcription subject to glucose repression; CIT1 has a paralog ; CIT2 ; that arose from the whole genome duplication""",Verified ORF
9786,14,634460,-0.0838255406775414,0.0576225355343832,0.146631146600296,YNR003C,RPC34,SGDID:S000005286,CDS,CDS,"""RNA polymerase III subunit C34; interacts with TFIIIB70 and is a key determinant in pol III recruitment by the preinitiation complex""",Verified ORF
9788,14,636754,-0.0922451320603647,0.0579747694058363,0.11247644050435,YNR006W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
9789,14,637729,-0.0893498220496262,0.0576568111854943,0.122113488630786,YNR006W,VPS27,SGDID:S000005289,CDS,CDS,"""Endosomal protein that forms a complex with Hse1p; required for recycling Golgi proteins ; forming lumenal membranes and sorting ubiquitinated proteins destined for degradation; has Ubiquitin Interaction Motifs which bind ubiquitin (Ubi4p)""",Verified ORF
9790,14,639287,-0.0874114480879037,0.0574228522872637,0.128843855546617,YNR007C,ATG3,SGDID:S000005290,CDS,CDS,"""E2-like enzyme; involved in autophagy and cytoplasm-to-vacuole targeting (Cvt) pathway; plays a role in formation of Atg8p-phosphatidylethanolamine conjugates ; which are involved in membrane dynamics during autophagy and Cvt; interaction with Atg8p regulated by acetylation by NuA4 histone acetyltransferase Esa1p while attenuation of Atg3 acetylation is mediated by histone deacetylase Rpd3p; Atg12p-Atg5p conjugate enhances E2 activity of Atg3p by rearranging its catalytic site""",Verified ORF
9791,14,640932,-0.132289699195212,0.057255807424338,0.0214362945472578,YNR008W,LRO1,SGDID:S000005291,CDS,CDS,"""Acyltransferase that converts diacylglycerol to triacylglycerol (TGA); one of several acyltransferases that contribute to TGA synthesis; relocates from ER to nuclear membrane in response cell cycle and starvation signals; Lro1p and Dga1p can O-acylate ceramides; putative homolog of human lecithin cholesterol acyltransferase""",Verified ORF
9792,14,641214,-0.119035717320023,0.05742465841128,0.038906542621694,YNR008W,LRO1,SGDID:S000005291,CDS,CDS,"""Acyltransferase that converts diacylglycerol to triacylglycerol (TGA); one of several acyltransferases that contribute to TGA synthesis; relocates from ER to nuclear membrane in response cell cycle and starvation signals; Lro1p and Dga1p can O-acylate ceramides; putative homolog of human lecithin cholesterol acyltransferase""",Verified ORF
9793,14,642445,-0.0407637515387387,0.058942356531997,0.489651489434321,YNR009W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
9795,14,643364,-0.0708368853413051,0.0575665136241582,0.219320871547402,YNR009W,NRM1,SGDID:S000005292,CDS,CDS,"""Transcriptional co-repressor of MBF-regulated gene expression; Nrm1p associates stably with promoters via MCB binding factor (MBF) to repress transcription upon exit from G1 phase""",Verified ORF
9796,14,643876,-0.0583636134603826,0.0581039720104123,0.315840851461423,YNR010W,CSE2,SGDID:S000005293,CDS,CDS,"""Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; component of the Middle domain of mediator; required for regulation of RNA polymerase II activity; relocalizes to the cytosol in response to hypoxia""",Verified ORF
9797,14,644727,-0.065750430320827,0.0580015177505613,0.2577323105819,YNR011C,PRP2,SGDID:S000005294,CDS,CDS,"""RNA-dependent DExD/H-box ATPase; required for activation of spliceosome before first transesterification step in RNA splicing; implicated in rearranging and proofreading snRNA structure in catalytic activation of spliceosome; ortholog of human protein DHX16""",Verified ORF
9798,14,644949,-0.0756810464162937,0.0574645857263492,0.188691828883335,YNR011C,PRP2,SGDID:S000005294,CDS,CDS,"""RNA-dependent DExD/H-box ATPase; required for activation of spliceosome before first transesterification step in RNA splicing; implicated in rearranging and proofreading snRNA structure in catalytic activation of spliceosome; ortholog of human protein DHX16""",Verified ORF
9799,14,645369,-0.0698209224872272,0.0576589442588505,0.226732477039023,YNR011C,PRP2,SGDID:S000005294,CDS,CDS,"""RNA-dependent DExD/H-box ATPase; required for activation of spliceosome before first transesterification step in RNA splicing; implicated in rearranging and proofreading snRNA structure in catalytic activation of spliceosome; ortholog of human protein DHX16""",Verified ORF
9800,14,646585,-0.0775726435268317,0.0583718465837965,0.184726319306988,YNR011C,PRP2,SGDID:S000005294,CDS,CDS,"""RNA-dependent DExD/H-box ATPase; required for activation of spliceosome before first transesterification step in RNA splicing; implicated in rearranging and proofreading snRNA structure in catalytic activation of spliceosome; ortholog of human protein DHX16""",Verified ORF
9801,14,647843,-0.0719395894754163,0.0577551429838505,0.213738781666062,YNR012W,URK1,SGDID:S000005295,CDS,CDS,"""Uridine/cytidine kinase; component of the pyrimidine ribonucleotide salvage pathway that converts uridine into UMP and cytidine into CMP; involved in the pyrimidine deoxyribonucleotide salvage pathway ; converting deoxycytidine into dCMP""",Verified ORF
9802,14,648789,-0.0492891902985978,0.05773543197569,0.393845830211778,YNR012W,URK1,SGDID:S000005295,CDS,CDS,"""Uridine/cytidine kinase; component of the pyrimidine ribonucleotide salvage pathway that converts uridine into UMP and cytidine into CMP; involved in the pyrimidine deoxyribonucleotide salvage pathway ; converting deoxycytidine into dCMP""",Verified ORF
9803,14,650841,-0.0787509528086892,0.0574910046847405,0.171621233775415,YNR013C,PHO91,SGDID:S000005296,CDS,CDS,"""Low-affinity vacuolar phosphate transporter; exports phosphate from the vacuolar lumen to the cytosol; regulates phosphate and polyphosphate metabolism; acts upstream of Pho81p in regulation of the PHO pathway; localizes to sites of contact between the vacuole and mitochondria (vCLAMPs); deletion of pho84 ; pho87 ; pho89 ; pho90 ; and pho91 causes synthetic lethality; transcription independent of Pi and Pho4p activity; overexpression results in vigorous growth""",Verified ORF
9808,14,654230,-0.0583219484831471,0.0577665133756783,0.313371231473516,YNR015W,SMM1,SGDID:S000005298,CDS,CDS,"""Dihydrouridine synthase; member of a family of dihydrouridine synthases including Dus1p ; Smm1p ; Dus3p ; and Dus4p; modifies uridine residues at position 20 of cytoplasmic tRNAs""",Verified ORF
9809,14,654336,-0.0530369702615972,0.0577882766734676,0.359360273082467,YNR015W,SMM1,SGDID:S000005298,CDS,CDS,"""Dihydrouridine synthase; member of a family of dihydrouridine synthases including Dus1p ; Smm1p ; Dus3p ; and Dus4p; modifies uridine residues at position 20 of cytoplasmic tRNAs""",Verified ORF
9811,14,663083,-0.0791762152173754,0.0574512429817913,0.169031033807861,YNR017W,TIM23,SGDID:S000005300,CDS,CDS,"""Essential component of the TIM23 complex; involved in protein import into mitochondrial matrix and inner membrane; with Tim17p ; contributes to architecture and function of the import channel; TIM23 complex is short for the translocase of the inner mitochondrial membrane""",Verified ORF
9812,14,668533,0.0204121560596775,0.0579484700908007,0.724863474869889,YNR021W,YNR021W,SGDID:S000005304,CDS,CDS,"""Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic reticulum; YNR021W is not an essential gene""",Uncharacterized ORF
9813,14,671892,0.0120173599641638,0.0581215760554529,0.836314586933305,YNR023W,SNF12,SGDID:S000005306,CDS,CDS,"""73 kDa subunit of the SWI/SNF chromatin remodeling complex; involved in transcriptional regulation; relocates to the cytosol under hypoxic conditions; deletion mutants are temperature-sensitive; SNF12 has a paralog ; RSC6 ; that arose from the whole genome duplication""",Verified ORF
9815,14,674210,0.021844032418217,0.0577846769550485,0.705639492225636,YNR026C,SEC12,SGDID:S000005309,CDS,CDS,"""Guanine nucleotide exchange factor (GEF); activates Sar1p by catalyzing the exchange of GDP for GTP; required for the initiation of COPII vesicle formation in ER to Golgi transport; glycosylated integral membrane protein of the ER; SEC12 has a paralog ; SED4 ; that arose from the whole genome duplication""",Verified ORF
9817,14,676297,0.0328209158176851,0.0579876686922328,0.571754627296241,YNR028W,CPR8,SGDID:S000005311,CDS,CDS,"""Peptidyl-prolyl cis-trans isomerase (cyclophilin); catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; potential role in the secretory pathway; CPR8 has a paralog ; CPR4 ; that arose from the whole genome duplication""",Verified ORF
9818,14,678738,0.0425502060730992,0.0581354031529252,0.464705739027058,YNR030W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
9819,14,678924,0.0479803760792621,0.0577399259379703,0.406550024432643,YNR030W,ALG12,SGDID:S000005313,CDS,CDS,"""Alpha-1,6-mannosyltransferase localized to the ER; responsible for addition of alpha-1,6 mannose to dolichol-linked Man7GlcNAc2; acts in the dolichol pathway for N-glycosylation; human homolog ALG12 complements yeast null mutant""",Verified ORF
9820,14,680198,0.0170697039095184,0.0578647099696353,0.768172387388215,YNR030W,ALG12,SGDID:S000005313,CDS,CDS,"""Alpha-1,6-mannosyltransferase localized to the ER; responsible for addition of alpha-1,6 mannose to dolichol-linked Man7GlcNAc2; acts in the dolichol pathway for N-glycosylation; human homolog ALG12 complements yeast null mutant""",Verified ORF
9821,14,682423,0.0070261703810788,0.0577077115105325,0.903162772856017,YNR031C,SSK2,SGDID:S000005314,CDS,CDS,"""MAP kinase kinase kinase of HOG1 mitogen-activated signaling pathway; interacts with Ssk1p ; leading to autophosphorylation and activation of Ssk2p which phosphorylates Pbs2p; also mediates actin cytoskeleton recovery from osmotic stress; a HOG-independent function of Ssk2p mediates the calcium-sensitive phenotype of the ptp2 msg5 double disruptant; SSK2 has a paralog ; SSK22 ; that arose from the whole genome duplication""",Verified ORF
9822,14,682649,0.0061704624855518,0.0579577229946505,0.915273989325242,YNR031C,SSK2,SGDID:S000005314,CDS,CDS,"""MAP kinase kinase kinase of HOG1 mitogen-activated signaling pathway; interacts with Ssk1p ; leading to autophosphorylation and activation of Ssk2p which phosphorylates Pbs2p; also mediates actin cytoskeleton recovery from osmotic stress; a HOG-independent function of Ssk2p mediates the calcium-sensitive phenotype of the ptp2 msg5 double disruptant; SSK2 has a paralog ; SSK22 ; that arose from the whole genome duplication""",Verified ORF
9823,14,688148,0.0484084401791824,0.0576322821165125,0.401502949429391,YNR033W,ABZ1,SGDID:S000005316,CDS,CDS,"""Para-aminobenzoate (PABA) synthase; has similarity to Escherichia coli PABA synthase components PabA and PabB; required for the synthesis of para-aminobenzoic acid ; an important intermediate for folate and ubiquinone Q biosynthesis; protein abundance increases in response to DNA replication stress""",Verified ORF
9824,14,688149,0.0484084401791824,0.0576322821165125,0.401502949429391,YNR033W,ABZ1,SGDID:S000005316,CDS,CDS,"""Para-aminobenzoate (PABA) synthase; has similarity to Escherichia coli PABA synthase components PabA and PabB; required for the synthesis of para-aminobenzoic acid ; an important intermediate for folate and ubiquinone Q biosynthesis; protein abundance increases in response to DNA replication stress""",Verified ORF
9825,14,688150,0.0484084401791824,0.0576322821165125,0.401502949429391,YNR033W,ABZ1,SGDID:S000005316,CDS,CDS,"""Para-aminobenzoate (PABA) synthase; has similarity to Escherichia coli PABA synthase components PabA and PabB; required for the synthesis of para-aminobenzoic acid ; an important intermediate for folate and ubiquinone Q biosynthesis; protein abundance increases in response to DNA replication stress""",Verified ORF
9826,14,688671,0.0402168761820691,0.0576610278854851,0.485967395645522,YNR033W,ABZ1,SGDID:S000005316,CDS,CDS,"""Para-aminobenzoate (PABA) synthase; has similarity to Escherichia coli PABA synthase components PabA and PabB; required for the synthesis of para-aminobenzoic acid ; an important intermediate for folate and ubiquinone Q biosynthesis; protein abundance increases in response to DNA replication stress""",Verified ORF
9827,14,690993,0.0264022361492053,0.0580154344807439,0.649324354429654,YNR034W,SOL1,SGDID:S000005317,CDS,CDS,"""Protein with a possible role in tRNA export; shows similarity to 6-phosphogluconolactonase non-catalytic domains but does not exhibit this enzymatic activity; homologous to Sol3p and Sol4p; SOL1 has a paralog ; SOL2 ; that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress""",Verified ORF
