SNP,Chr,Pos,Effect,SE,ADE17_PGM2_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
8228,12,801531,0.133735399354858,0.0641531333469378,0.0378214522529398,YLR336C,SGD1,SGDID:S000004328,CDS,CDS,"""Essential nuclear protein; required for biogenesis of the small ribosomal subunit; has a possible role in the osmoregulatory glycerol response; putative homolog of human NOM1 which is implicated in acute myeloid leukemia""",Verified ORF
8229,12,803026,0.109851028026085,0.0643252351646067,0.0885630786079717,YLR337C,VRP1,SGDID:S000004329,CDS,CDS,"""Verprolin ; proline-rich actin-associated protein; involved in cytoskeletal organization and cytokinesis; promotes actin nucleation and endocytosis; related to mammalian Wiskott-Aldrich syndrome protein (WASP)-interacting protein (WIP)""",Verified ORF
8230,12,803607,0.116814916868058,0.0641326854130801,0.0693836921176599,YLR337C,VRP1,SGDID:S000004329,CDS,CDS,"""Verprolin ; proline-rich actin-associated protein; involved in cytoskeletal organization and cytokinesis; promotes actin nucleation and endocytosis; related to mammalian Wiskott-Aldrich syndrome protein (WASP)-interacting protein (WIP)""",Verified ORF
8231,12,804626,0.12211324588716,0.0644736244885319,0.0590418930363446,YLR337C,VRP1,SGDID:S000004329,CDS,CDS,"""Verprolin ; proline-rich actin-associated protein; involved in cytoskeletal organization and cytokinesis; promotes actin nucleation and endocytosis; related to mammalian Wiskott-Aldrich syndrome protein (WASP)-interacting protein (WIP)""",Verified ORF
8232,12,804630,0.0837007696337343,0.0647376891501741,0.196883655128038,YLR337C,VRP1,SGDID:S000004329,CDS,CDS,"""Verprolin ; proline-rich actin-associated protein; involved in cytoskeletal organization and cytokinesis; promotes actin nucleation and endocytosis; related to mammalian Wiskott-Aldrich syndrome protein (WASP)-interacting protein (WIP)""",Verified ORF
8233,12,804633,0.101599174951381,0.0647892557788902,0.117742411466543,YLR337C,VRP1,SGDID:S000004329,CDS,CDS,"""Verprolin ; proline-rich actin-associated protein; involved in cytoskeletal organization and cytokinesis; promotes actin nucleation and endocytosis; related to mammalian Wiskott-Aldrich syndrome protein (WASP)-interacting protein (WIP)""",Verified ORF
8234,12,805260,0.071870250276398,0.0646614359112848,0.267115856168041,YLR337C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
8235,12,806743,0.0570221940354153,0.064257999728389,0.375470758175229,YLR340W,RPP0,SGDID:S000004332,CDS,CDS,"""Conserved ribosomal protein P0 of the ribosomal stalk; involved in interaction between translational elongation factors and the ribosome; phosphorylated on serine 302; homologous to mammalian ribosomal protein LP0 and bacterial L10""",Verified ORF
8236,12,807037,0.0857063988697963,0.0646152164784857,0.185560762115207,YLR339C,YLR339C,SGDID:S000004331,Close to 3'-UTR,Close to 3'-UTR,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; partially overlaps the essential gene RPP0""",Dubious ORF
8238,12,807547,0.0857063988697963,0.0646152164784857,0.185560762115207,YLR341W,SPO77,SGDID:S000004333,CDS,CDS,"""Meiosis-specific protein of unknown function; required for spore wall formation during sporulation and for timely prospore membrane closure along with SPS1; required with Sps1p for phosphorylation and turnover of Ssp1p; dispensable for both nuclear divisions during meiosis""",Verified ORF
8240,12,811797,0.0709360257894601,0.0643978329076745,0.271417359005658,YLR342W,FKS1,SGDID:S000004334,CDS,CDS,"""Catalytic subunit of 1,3-beta-D-glucan synthase; functionally redundant with alternate catalytic subunit Gsc2p; binds to regulatory subunit Rho1p; involved in cell wall synthesis and maintenance; localizes to sites of cell wall remodeling; FKS1 has a paralog ; GSC2 ; that arose from the whole genome duplication""",Verified ORF
8245,12,824912,0.0725252906524075,0.0644513100909018,0.261238060499716,YLR347C,KAP95,SGDID:S000004339,CDS,CDS,"""Karyopherin beta; forms a complex with Srp1p/Kap60p; interacts with nucleoporins to mediate nuclear import of NLS-containing cargo proteins via the nuclear pore complex; regulates PC biosynthesis; GDP-to-GTP exchange factor for Gsp1p""",Verified ORF
8246,12,825661,0.0356677430796273,0.0646484538011583,0.581490371075593,YLR347C,KAP95,SGDID:S000004339,CDS,CDS,"""Karyopherin beta; forms a complex with Srp1p/Kap60p; interacts with nucleoporins to mediate nuclear import of NLS-containing cargo proteins via the nuclear pore complex; regulates PC biosynthesis; GDP-to-GTP exchange factor for Gsp1p""",Verified ORF
8250,12,828754,0.0212339308778681,0.0653674974363833,0.745495137462946,YLR350W,ORM2,SGDID:S000004342,CDS,CDS,"""Protein that mediates sphingolipid homeostasis; evolutionarily conserved ; required for resistance to agents that induce unfolded protein response; Orm1p and Orm2p together control membrane biogenesis by coordinating lipid homeostasis with protein quality control; protein abundance increases in response to DNA replication stress; ORM2 has a paralog ; ORM1 ; that arose from the whole genome duplication""",Verified ORF
8254,12,829553,0.0385647438611414,0.0654475530163477,0.556072811326155,YLR351C,NIT3,SGDID:S000004343,CDS,CDS,"""Nit protein; one of two proteins in S. cerevisiae with similarity to the Nit domain of NitFhit from fly and worm and to the mouse and human Nit protein which interacts with the Fhit tumor suppressor; nitrilase superfamily member""",Verified ORF
8255,12,829993,0.0607557234992545,0.0643797394174115,0.345963940961502,YLR351C,NIT3,SGDID:S000004343,CDS,CDS,"""Nit protein; one of two proteins in S. cerevisiae with similarity to the Nit domain of NitFhit from fly and worm and to the mouse and human Nit protein which interacts with the Fhit tumor suppressor; nitrilase superfamily member""",Verified ORF
8256,12,831532,0.0470332137896284,0.0648065680338269,0.468474367847865,YLR352W,LUG1,SGDID:S000004344,CDS,CDS,"""Protein of unknown function with similarity to F-box proteins; interacts with the core SCF ubiquitin ligase complex subunits Skp1p and Cdc53p; LUG1 deletion prevents cells containing the [URE3] prion or lacking Ure2p from growing on glycerol""",Verified ORF
8257,12,832184,-0.0476602705634066,0.0649210547601427,0.463358941690633,YLR352W,LUG1,SGDID:S000004344,CDS,CDS,"""Protein of unknown function with similarity to F-box proteins; interacts with the core SCF ubiquitin ligase complex subunits Skp1p and Cdc53p; LUG1 deletion prevents cells containing the [URE3] prion or lacking Ure2p from growing on glycerol""",Verified ORF
8258,12,836320,-0.118733219144887,0.0643932715074891,0.066039098971926,YLR353W,BUD8,SGDID:S000004345,Close to 3'-UTR,Close to 3'-UTR,"""Protein involved in bud-site selection; diploid mutants display a unipolar budding pattern instead of the wild-type bipolar pattern ; and bud at the proximal pole; BUD8 has a paralog ; BUD9 ; that arose from the whole genome duplication""",Verified ORF
8259,12,836321,-0.120802388762521,0.0645353960229397,0.0620502041535066,YLR353W,BUD8,SGDID:S000004345,Close to 3'-UTR,Close to 3'-UTR,"""Protein involved in bud-site selection; diploid mutants display a unipolar budding pattern instead of the wild-type bipolar pattern ; and bud at the proximal pole; BUD8 has a paralog ; BUD9 ; that arose from the whole genome duplication""",Verified ORF
8260,12,837460,-0.122146622510492,0.0647487433451985,0.0600520831683527,YLR354C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
8261,12,838168,-0.0932168880967951,0.0645857522807826,0.149821606853003,YLR355C,ILV5,SGDID:S000004347,CDS,CDS,"""Acetohydroxyacid reductoisomerase and mtDNA binding protein; involved in branched-chain amino acid biosynthesis and maintenance of wild-type mitochondrial DNA; found in mitochondrial nucleoids""",Verified ORF
8262,12,840314,-0.0320431588361911,0.0648574420286392,0.621574454097239,YLR356W,ATG33,SGDID:S000004348,Close to 3'-UTR,Close to 3'-UTR,"""Mitochondrial mitophagy-specific protein; required primarily for mitophagy induced at post-log phase; not required for other types of selective autophagy or macroautophagy; conserved within fungi ; but not in higher eukaryotes; ATG33 has a paralog ; SCM4 ; that arose from the whole genome duplication""",Verified ORF
8263,12,840557,-0.0358018503913758,0.0645171385950872,0.579300825116702,YLR356W,ATG33,SGDID:S000004348,CDS,CDS,"""Mitochondrial mitophagy-specific protein; required primarily for mitophagy induced at post-log phase; not required for other types of selective autophagy or macroautophagy; conserved within fungi ; but not in higher eukaryotes; ATG33 has a paralog ; SCM4 ; that arose from the whole genome duplication""",Verified ORF
8264,12,842368,0.0225363556896044,0.0654799832543066,0.730922111413528,YLR357W,RSC2,SGDID:S000004349,CDS,CDS,"""Component of the RSC chromatin remodeling complex; required for expression of mid-late sporulation-specific genes; involved in telomere maintenance; RSC2 has a paralog ; RSC1 ; that arose from the whole genome duplication""",Verified ORF
8265,12,843076,-0.033674147013118,0.0652480195692823,0.606111492939559,YLR357W,RSC2,SGDID:S000004349,CDS,CDS,"""Component of the RSC chromatin remodeling complex; required for expression of mid-late sporulation-specific genes; involved in telomere maintenance; RSC2 has a paralog ; RSC1 ; that arose from the whole genome duplication""",Verified ORF
8266,12,843963,-0.038234057313594,0.0651119327438131,0.557441367197038,YLR357W,RSC2,SGDID:S000004349,CDS,CDS,"""Component of the RSC chromatin remodeling complex; required for expression of mid-late sporulation-specific genes; involved in telomere maintenance; RSC2 has a paralog ; RSC1 ; that arose from the whole genome duplication""",Verified ORF
8268,12,846897,-0.0434496827588239,0.0647855876942435,0.502869993679138,YLR360W,VPS38,SGDID:S000004352,CDS,CDS,"""Part of a Vps34p phosphatidylinositol 3-kinase complex; functions in carboxypeptidase Y (CPY) sorting; binds Vps30p and Vps34p to promote production of phosphatidylinositol 3-phosphate (PtdIns3P) which stimulates kinase activity; required for overflow degradation of misfolded proteins when ERAD is saturated""",Verified ORF
8270,12,853997,-0.0409902467742684,0.0647667684110241,0.527215177230481,YLR363C,NMD4,SGDID:S000004355,Close to 3'-UTR,Close to 3'-UTR,"""Protein that may be involved in nonsense-mediated mRNA decay; interacts with Nam7p ; relocalizes from nucleus to cytoplasmic foci upon DNA replication stress""",Verified ORF
8271,12,854833,-0.0920423397185869,0.0647573573894935,0.156100229027284,YLR364W,GRX8,SGDID:S000004356,Close to 3'-UTR,Close to 3'-UTR,"""Glutaredoxin that employs a dithiol mechanism of catalysis; monomeric; activity is low and null mutation does not affect sensitivity to oxidative stress; GFP-fusion protein localizes to the cytoplasm; expression strongly induced by arsenic""",Verified ORF
8272,12,859419,-0.0719459528536837,0.06518357622897,0.270456221060764,YLR369W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
8273,12,860244,-0.0745825804213937,0.0652454411139881,0.25376844222379,YLR369W,SSQ1,SGDID:S000004361,CDS,CDS,"""Mitochondrial hsp70-type molecular chaperone; required for assembly of iron/sulfur clusters into proteins at a step after cluster synthesis; involved in maturation of Grx5p and Yfh1p ; which is a homolog of human frataxin implicated in Friedreich's ataxia""",Verified ORF
8274,12,860259,-0.0552890193622558,0.0649720253153386,0.395364805352803,YLR369W,SSQ1,SGDID:S000004361,CDS,CDS,"""Mitochondrial hsp70-type molecular chaperone; required for assembly of iron/sulfur clusters into proteins at a step after cluster synthesis; involved in maturation of Grx5p and Yfh1p ; which is a homolog of human frataxin implicated in Friedreich's ataxia""",Verified ORF
8275,12,860877,-0.0192059156047672,0.0655006614848515,0.769528493895305,YLR369W,SSQ1,SGDID:S000004361,CDS,CDS,"""Mitochondrial hsp70-type molecular chaperone; required for assembly of iron/sulfur clusters into proteins at a step after cluster synthesis; involved in maturation of Grx5p and Yfh1p ; which is a homolog of human frataxin implicated in Friedreich's ataxia""",Verified ORF
8276,12,862519,-0.0266545235352696,0.0661430504835112,0.687204698890059,YLR371W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
8277,12,862720,-0.0352413767910624,0.0657459374248223,0.592279800129294,YLR371W,ROM2,SGDID:S000004363,CDS,CDS,"""Guanine nucleotide exchange factor (GEF) for Rho1p and Rho2p; mutations are synthetically lethal with mutations in rom1 ; which also encodes a GEF; Rom2p localization to the bud surface is dependent on Ack1p; ROM2 has a paralog ; ROM1 ; that arose from the whole genome duplication""",Verified ORF
8278,12,863920,-0.0557795931633297,0.0651902322253388,0.392775442558537,YLR371W,ROM2,SGDID:S000004363,CDS,CDS,"""Guanine nucleotide exchange factor (GEF) for Rho1p and Rho2p; mutations are synthetically lethal with mutations in rom1 ; which also encodes a GEF; Rom2p localization to the bud surface is dependent on Ack1p; ROM2 has a paralog ; ROM1 ; that arose from the whole genome duplication""",Verified ORF
8279,12,867397,-0.0269875922714907,0.0659082735651523,0.682441663896987,YLR372W,ELO3,SGDID:S000004364,CDS,CDS,"""Elongase; involved in fatty acid and sphingolipid biosynthesis; synthesizes very long chain 20-26-carbon fatty acids from C18-CoA primers; involved in regulation of sphingolipid biosynthesis; lethality of the elo2 elo3 double null mutation is functionally complemented by human ELOVL1 and weakly complemented by human ELOVL3 or ELOV7""",Verified ORF
8280,12,868297,-0.0225436156820052,0.0658214700205697,0.732181203204991,YLR372W,ELO3,SGDID:S000004364,CDS,CDS,"""Elongase; involved in fatty acid and sphingolipid biosynthesis; synthesizes very long chain 20-26-carbon fatty acids from C18-CoA primers; involved in regulation of sphingolipid biosynthesis; lethality of the elo2 elo3 double null mutation is functionally complemented by human ELOVL1 and weakly complemented by human ELOVL3 or ELOV7""",Verified ORF
8281,12,869357,-0.0396405814578087,0.0654891270128919,0.545368487271699,YLR373C,VID22,SGDID:S000004365,CDS,CDS,"""Glycosylated integral membrane protein localized to plasma membrane; plays a role in fructose-1,6-bisphosphatase (FBPase) degradation; involved in FBPase transport from the cytosol to Vid (vacuole import and degradation) vesicles; VID22 has a paralog ; ENV11 ; that arose from the whole genome duplication""",Verified ORF
8282,12,871085,-0.0590539604109125,0.0652569379618256,0.366111562080218,YLR373C,VID22,SGDID:S000004365,CDS,CDS,"""Glycosylated integral membrane protein localized to plasma membrane; plays a role in fructose-1,6-bisphosphatase (FBPase) degradation; involved in FBPase transport from the cytosol to Vid (vacuole import and degradation) vesicles; VID22 has a paralog ; ENV11 ; that arose from the whole genome duplication""",Verified ORF
8283,12,871998,-0.0578743549013285,0.0652599317090643,0.375775124277417,YLR375W,STP3,SGDID:S000004367,CDS,CDS,"""Zinc-finger protein of unknown function; possibly involved in pre-tRNA splicing and in uptake of branched-chain amino acids; STP3 has a paralog ; STP4 ; that arose from the whole genome duplication""",Verified ORF
8284,12,871999,-0.0470552436398664,0.0655321532286214,0.473202523034293,YLR375W,STP3,SGDID:S000004367,CDS,CDS,"""Zinc-finger protein of unknown function; possibly involved in pre-tRNA splicing and in uptake of branched-chain amino acids; STP3 has a paralog ; STP4 ; that arose from the whole genome duplication""",Verified ORF
8285,12,872037,-0.047977662839026,0.0651607070762455,0.462038701292343,YLR375W,STP3,SGDID:S000004367,CDS,CDS,"""Zinc-finger protein of unknown function; possibly involved in pre-tRNA splicing and in uptake of branched-chain amino acids; STP3 has a paralog ; STP4 ; that arose from the whole genome duplication""",Verified ORF
8286,12,872065,-0.0252384505659345,0.0649567065445613,0.697848736041103,YLR375W,STP3,SGDID:S000004367,CDS,CDS,"""Zinc-finger protein of unknown function; possibly involved in pre-tRNA splicing and in uptake of branched-chain amino acids; STP3 has a paralog ; STP4 ; that arose from the whole genome duplication""",Verified ORF
8287,12,872449,-0.0088923487729686,0.0651325268012183,0.891482506842802,YLR375W,STP3,SGDID:S000004367,CDS,CDS,"""Zinc-finger protein of unknown function; possibly involved in pre-tRNA splicing and in uptake of branched-chain amino acids; STP3 has a paralog ; STP4 ; that arose from the whole genome duplication""",Verified ORF
8288,12,873601,-0.0152835821522786,0.0654111102789313,0.815388869307479,YLR376C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
8292,12,873750,-0.0185434192922861,0.0662332716088999,0.779663462440092,SUT281,,,Unstable transcript,SUT,ncRNA_UNB,Unstable transcript
8293,12,874900,-0.0031699192820956,0.0655830015917325,0.961477022369369,SUT281,,,Unstable transcript,SUT,ncRNA_UNB,Unstable transcript
8294,12,876059,-0.0093733444172398,0.0662903106576492,0.887635869912471,YLR378C,SEC61,SGDID:S000004370,CDS,CDS,"""Conserved ER protein translocation channel; essential subunit of Sec61 complex (Sec61p ; Sbh1p ; and Sss1p); forms channel for SRP-dependent protein import; with Sec63 complex is required for SRP-independent protein translocation into the ER; involved in posttranslational soluble protein import into the ER ; ERAD of soluble substrates ; and misfolded soluble protein export from the ER""",Verified ORF
8295,12,879953,-0.0316038861433781,0.0658729926069315,0.631688065115224,YLR381W,CTF3,SGDID:S000004373,CDS,CDS,"""Outer kinetochore protein that forms a complex with Mcm16p and Mcm22p; may bind the kinetochore to spindle microtubules; required for the spindle assembly checkpoint; orthologous to human centromere constitutive-associated network (CCAN) subunit CENP-I and fission yeast mis6""",Verified ORF
8297,12,885953,-0.0721939756050517,0.0660631681129406,0.27522587003941,YLR383W,SMC6,SGDID:S000004375,CDS,CDS,"""Subunit of the SMC5-SMC6 complex; the SMC5-SMC6 complex plays a key role in the removal of X-shaped DNA structures that arise between sister chromatids during DNA replication and repair; homologous to S. pombe rad18""",Verified ORF
8298,12,885965,-0.0608285317006351,0.0650964746617154,0.350717452546521,YLR383W,SMC6,SGDID:S000004375,CDS,CDS,"""Subunit of the SMC5-SMC6 complex; the SMC5-SMC6 complex plays a key role in the removal of X-shaped DNA structures that arise between sister chromatids during DNA replication and repair; homologous to S. pombe rad18""",Verified ORF
8299,12,886192,-0.0477611558565805,0.0648227525644013,0.461735703788161,YLR383W,SMC6,SGDID:S000004375,CDS,CDS,"""Subunit of the SMC5-SMC6 complex; the SMC5-SMC6 complex plays a key role in the removal of X-shaped DNA structures that arise between sister chromatids during DNA replication and repair; homologous to S. pombe rad18""",Verified ORF
8300,12,888202,-0.0513700738550725,0.064745798869617,0.428070975622971,YLR383W,SMC6,SGDID:S000004375,CDS,CDS,"""Subunit of the SMC5-SMC6 complex; the SMC5-SMC6 complex plays a key role in the removal of X-shaped DNA structures that arise between sister chromatids during DNA replication and repair; homologous to S. pombe rad18""",Verified ORF
8304,12,892496,-0.0680678460206229,0.0652656130594788,0.297691729319243,YLR384C,IKI3,SGDID:S000004376,CDS,CDS,"""Subunit of Elongator complex; Elongator is required for modification of wobble nucleosides in tRNA; maintains structural integrity of Elongator; homolog of human IKAP ; mutations in which cause familial dysautonomia (FD)""",Verified ORF
8305,12,892506,-0.0369897871100587,0.0649407587958561,0.569316210723396,YLR384C,IKI3,SGDID:S000004376,CDS,CDS,"""Subunit of Elongator complex; Elongator is required for modification of wobble nucleosides in tRNA; maintains structural integrity of Elongator; homolog of human IKAP ; mutations in which cause familial dysautonomia (FD)""",Verified ORF
8306,12,892960,-0.0431113186498348,0.0652779317774228,0.509410475448183,YLR384C,IKI3,SGDID:S000004376,Close to 3'-UTR,Close to 3'-UTR,"""Subunit of Elongator complex; Elongator is required for modification of wobble nucleosides in tRNA; maintains structural integrity of Elongator; homolog of human IKAP ; mutations in which cause familial dysautonomia (FD)""",Verified ORF
8307,12,893418,-0.0501682796765503,0.0646325309256524,0.43814600853341,YLR386W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
8308,12,893539,-0.0459933259620302,0.0648263740620777,0.478492043543289,YLR386W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
8309,12,894077,-0.058520828903185,0.0648943205772746,0.367785111359467,YLR386W,VAC14,SGDID:S000004378,CDS,CDS,"""Enzyme regulator; involved in synthesis of phosphatidylinositol 3,5-bisphosphate ; in control of trafficking of some proteins to the vacuole lumen via the MVB ; and in maintenance of vacuole size and acidity; binds negative (Fig4p) and positive (Fab1p) regulators of PtdIns(3,5)P(2) to control endolysosome function; similar to mammalian Vac14p""",Verified ORF
8310,12,894613,-0.0370305783259495,0.0655063284547253,0.572230378685779,YLR386W,VAC14,SGDID:S000004378,CDS,CDS,"""Enzyme regulator; involved in synthesis of phosphatidylinositol 3,5-bisphosphate ; in control of trafficking of some proteins to the vacuole lumen via the MVB ; and in maintenance of vacuole size and acidity; binds negative (Fig4p) and positive (Fab1p) regulators of PtdIns(3,5)P(2) to control endolysosome function; similar to mammalian Vac14p""",Verified ORF
8311,12,895625,-0.0173577303281376,0.0648483182762783,0.789112269611112,YLR386W,VAC14,SGDID:S000004378,CDS,CDS,"""Enzyme regulator; involved in synthesis of phosphatidylinositol 3,5-bisphosphate ; in control of trafficking of some proteins to the vacuole lumen via the MVB ; and in maintenance of vacuole size and acidity; binds negative (Fig4p) and positive (Fab1p) regulators of PtdIns(3,5)P(2) to control endolysosome function; similar to mammalian Vac14p""",Verified ORF
8312,12,896144,-0.0234746348322865,0.0647712408387859,0.717252290622595,YLR386W,VAC14,SGDID:S000004378,CDS,CDS,"""Enzyme regulator; involved in synthesis of phosphatidylinositol 3,5-bisphosphate ; in control of trafficking of some proteins to the vacuole lumen via the MVB ; and in maintenance of vacuole size and acidity; binds negative (Fig4p) and positive (Fab1p) regulators of PtdIns(3,5)P(2) to control endolysosome function; similar to mammalian Vac14p""",Verified ORF
8313,12,896189,-0.0243062616119907,0.064578990896317,0.706860288635687,YLR386W,VAC14,SGDID:S000004378,CDS,CDS,"""Enzyme regulator; involved in synthesis of phosphatidylinositol 3,5-bisphosphate ; in control of trafficking of some proteins to the vacuole lumen via the MVB ; and in maintenance of vacuole size and acidity; binds negative (Fig4p) and positive (Fab1p) regulators of PtdIns(3,5)P(2) to control endolysosome function; similar to mammalian Vac14p""",Verified ORF
8314,12,896923,-0.0363969291531758,0.0653166233245068,0.577717722783537,YLR387C,REH1,SGDID:S000004379,CDS,CDS,"""Cytoplasmic 60S subunit biogenesis factor; associates with pre-60S particles; similar to Rei1p and shares partially redundant function in cytoplasmic 60S subunit maturation; contains dispersed C2H2 zinc finger domains""",Verified ORF
8315,12,897975,-0.0392507757168255,0.0653438798114908,0.54843846716196,YLR388W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
8316,12,898095,-0.0482288602923777,0.064874415605914,0.457722660910837,YLR387C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
8317,12,899065,-0.08153125693703,0.0650434201825479,0.210857109811765,snR34_NFR/NDR,,,Promoter,Promoter,,Promoter
8318,12,899557,-0.0569580710484402,0.0653667185270926,0.384148780215933,YLR388W,RPS29A,SGDID:S000004380,Close to 3'-UTR,Close to 3'-UTR,"""Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S29 and bacterial S14; RPS29A has a paralog ; RPS29B ; that arose from the whole genome duplication""",Verified ORF
8319,12,899794,-0.0490719045310082,0.064774213881654,0.449205506936241,YLR389C,STE23,SGDID:S000004381,CDS,CDS,"""Metalloprotease; involved in N-terminal processing of pro-a-factor to mature form; expressed in both haploids and diploids; one of two yeast homologs of human insulin-degrading enzyme (hIDE); homolog Axl1p is also involved in processing of pro-a-factor""",Verified ORF
8320,12,899835,-0.0463212528551006,0.0652006161642891,0.477899206457653,YLR389C,STE23,SGDID:S000004381,CDS,CDS,"""Metalloprotease; involved in N-terminal processing of pro-a-factor to mature form; expressed in both haploids and diploids; one of two yeast homologs of human insulin-degrading enzyme (hIDE); homolog Axl1p is also involved in processing of pro-a-factor""",Verified ORF
8321,12,899898,-0.0726176855972823,0.0656894616276761,0.269709136184455,YLR389C,STE23,SGDID:S000004381,CDS,CDS,"""Metalloprotease; involved in N-terminal processing of pro-a-factor to mature form; expressed in both haploids and diploids; one of two yeast homologs of human insulin-degrading enzyme (hIDE); homolog Axl1p is also involved in processing of pro-a-factor""",Verified ORF
8322,12,900301,-0.0361800939460725,0.0648237041595395,0.577109003559522,YLR389C,STE23,SGDID:S000004381,CDS,CDS,"""Metalloprotease; involved in N-terminal processing of pro-a-factor to mature form; expressed in both haploids and diploids; one of two yeast homologs of human insulin-degrading enzyme (hIDE); homolog Axl1p is also involved in processing of pro-a-factor""",Verified ORF
8323,12,900312,0.0148807822625285,0.0656959279881987,0.820935916165928,YLR389C,STE23,SGDID:S000004381,CDS,CDS,"""Metalloprotease; involved in N-terminal processing of pro-a-factor to mature form; expressed in both haploids and diploids; one of two yeast homologs of human insulin-degrading enzyme (hIDE); homolog Axl1p is also involved in processing of pro-a-factor""",Verified ORF
8324,12,901022,-0.0277152695395965,0.0652125431382428,0.671096302723448,YLR389C,STE23,SGDID:S000004381,CDS,CDS,"""Metalloprotease; involved in N-terminal processing of pro-a-factor to mature form; expressed in both haploids and diploids; one of two yeast homologs of human insulin-degrading enzyme (hIDE); homolog Axl1p is also involved in processing of pro-a-factor""",Verified ORF
8325,12,901592,-0.0172353467497463,0.0648811838692035,0.790667879791784,YLR389C,STE23,SGDID:S000004381,CDS,CDS,"""Metalloprotease; involved in N-terminal processing of pro-a-factor to mature form; expressed in both haploids and diploids; one of two yeast homologs of human insulin-degrading enzyme (hIDE); homolog Axl1p is also involved in processing of pro-a-factor""",Verified ORF
8326,12,903048,-0.030437750898832,0.0645377555336065,0.637484387697431,YLR389C,STE23,SGDID:S000004381,Close to 3'-UTR,Close to 3'-UTR,"""Metalloprotease; involved in N-terminal processing of pro-a-factor to mature form; expressed in both haploids and diploids; one of two yeast homologs of human insulin-degrading enzyme (hIDE); homolog Axl1p is also involved in processing of pro-a-factor""",Verified ORF
8327,12,903643,-0.0120533837234381,0.064709254898184,0.852340139812624,YLR390W-A_NFR/NDR,,,Promoter,Promoter,stable,Promoter
8328,12,903722,-0.0111782029448848,0.0647541532146918,0.863044921725426,YLR390W-A_NFR/NDR,,,Promoter,Promoter,stable,Promoter
8329,12,903918,-0.0165174326004672,0.0646363478179566,0.798451777446617,YLR390W-A,CCW14,SGDID:S000006429,CDS,CDS,"""Covalently linked cell wall glycoprotein; present in the inner layer of the cell wall""",Verified ORF
8330,12,906577,-0.0172670135279465,0.0650709682880315,0.79088962902033,CUT275_NFR/NDR,,,Promoter,Promoter,,Promoter
8331,12,907052,-0.0368158209403184,0.0648580748151592,0.570642541758384,YLR393W_NFR/NDR,,,Promoter,Promoter,,Promoter
8332,12,908556,-0.0339163040509575,0.0651630173679194,0.603052609152898,YLR394W,CST9,SGDID:S000004386,CDS,CDS,"""SUMO E3 ligase; required for synaptonemal complex formation; localizes to synapsis initiation sites on meiotic chromosomes; associates with centromeres early in meiosis ; then with chromosome axes and finally with double-strand break sites that are engaged in repair by crossovers; potential Cdc28p substrate""",Verified ORF
8333,12,910090,0.0153538194540429,0.0649550060078995,0.813277836040673,YLR395C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
8334,12,910376,0.0166810640565466,0.0646377729804734,0.796503346305405,YLR396C,VPS33,SGDID:S000004388,CDS,CDS,"""ATP-binding protein that is a subunit of the HOPS and CORVET complexes; essential for protein sorting ; vesicle docking ; and fusion at the vacuole; binds to SNARE domains""",Verified ORF
8335,12,910442,0.0125459671051273,0.0646914401517964,0.846337933108647,YLR396C,VPS33,SGDID:S000004388,CDS,CDS,"""ATP-binding protein that is a subunit of the HOPS and CORVET complexes; essential for protein sorting ; vesicle docking ; and fusion at the vacuole; binds to SNARE domains""",Verified ORF
8336,12,910650,0.0079827843918462,0.0650797472370222,0.902444894953483,YLR396C,VPS33,SGDID:S000004388,CDS,CDS,"""ATP-binding protein that is a subunit of the HOPS and CORVET complexes; essential for protein sorting ; vesicle docking ; and fusion at the vacuole; binds to SNARE domains""",Verified ORF
8337,12,911265,-0.0009820740779162,0.0652805597199145,0.988005657702166,YLR396C,VPS33,SGDID:S000004388,CDS,CDS,"""ATP-binding protein that is a subunit of the HOPS and CORVET complexes; essential for protein sorting ; vesicle docking ; and fusion at the vacuole; binds to SNARE domains""",Verified ORF
8338,12,911416,0.0053758687077541,0.0653734462305665,0.934507868071383,YLR396C,VPS33,SGDID:S000004388,CDS,CDS,"""ATP-binding protein that is a subunit of the HOPS and CORVET complexes; essential for protein sorting ; vesicle docking ; and fusion at the vacuole; binds to SNARE domains""",Verified ORF
