,SNP,SNPs_localization,GENE,snps_class_down,CLOSEST_GENE,description
9561,9562.0,YNL106C_NFR/NDR,,Promoter,INP52,"""Polyphosphatidylinositol phosphatase; dephosphorylates a number of phosphatidylinositol phosphates (PtdInsPs ; PIPs) to PI; involved in endocytosis; hyperosmotic stress causes translocation to actin patches; synaptojanin-like protein with a Sac1 domain; INP52 has a paralog ; INP53 ; that arose from the whole genome duplication"""
9562,9563.0,YNL106C_NFR/NDR,,Promoter,INP52,"""Polyphosphatidylinositol phosphatase; dephosphorylates a number of phosphatidylinositol phosphates (PtdInsPs ; PIPs) to PI; involved in endocytosis; hyperosmotic stress causes translocation to actin patches; synaptojanin-like protein with a Sac1 domain; INP52 has a paralog ; INP53 ; that arose from the whole genome duplication"""
9563,9564.0,YNL104C,LEU4,Verified ORF,LEU4,"""Alpha-isopropylmalate synthase (2-isopropylmalate synthase); the main isozyme responsible for the first step in the leucine biosynthesis pathway; LEU4 has a paralog ; LEU9 ; that arose from the whole genome duplication"""
9564,9565.0,SUT332,,SUT,,
9565,9566.0,YNL103W,MET4,Verified ORF,MET4,"""Leucine-zipper transcriptional activator; responsible for regulation of sulfur amino acid pathway; requires different combinations of auxiliary factors Cbf1p ; Met28p ; Met31p and Met32p; feedforward loop exists in the regulation of genes controlled by Met4p and Met32p; can be ubiquitinated by ubiquitin ligase SCF-Met30p ; is either degraded or maintained in an inactive state; regulates degradation of its own DNA-binding cofactors by targeting them to SCF-Met30p"""
9566,9567.0,YNL103W,MET4,Verified ORF,MET4,"""Leucine-zipper transcriptional activator; responsible for regulation of sulfur amino acid pathway; requires different combinations of auxiliary factors Cbf1p ; Met28p ; Met31p and Met32p; feedforward loop exists in the regulation of genes controlled by Met4p and Met32p; can be ubiquitinated by ubiquitin ligase SCF-Met30p ; is either degraded or maintained in an inactive state; regulates degradation of its own DNA-binding cofactors by targeting them to SCF-Met30p"""
9567,9568.0,YNL103W,MET4,Close to 3'-UTR,MET4,"""Leucine-zipper transcriptional activator; responsible for regulation of sulfur amino acid pathway; requires different combinations of auxiliary factors Cbf1p ; Met28p ; Met31p and Met32p; feedforward loop exists in the regulation of genes controlled by Met4p and Met32p; can be ubiquitinated by ubiquitin ligase SCF-Met30p ; is either degraded or maintained in an inactive state; regulates degradation of its own DNA-binding cofactors by targeting them to SCF-Met30p"""
9568,9569.0,YNL102W,POL1,Verified ORF,POL1,"""Catalytic subunit of the DNA polymerase I alpha-primase complex; required for the initiation of DNA replication during mitotic DNA synthesis and premeiotic DNA synthesis"""
9569,9570.0,YNL102W,POL1,Close to 3'-UTR,POL1,"""Catalytic subunit of the DNA polymerase I alpha-primase complex; required for the initiation of DNA replication during mitotic DNA synthesis and premeiotic DNA synthesis"""
9570,9571.0,YNL101W,AVT4,Verified ORF,AVT4,"""Vacuolar transporter; exports large neutral amino acids from the vacuole; member of a family of seven S. cerevisiae genes (AVT1-7) related to vesicular GABA-glycine transporters; localizes to sites of contact between the vacuole and mitochondria (vCLAMPs)"""
9571,9572.0,YNL100W_NFR/NDR,,Promoter,MIC27,"""Component of the MICOS complex; MICOS (formerly MINOS or MitOS) ; a mitochondrial inner membrane complex that extends into the intermembrane space with a role in the maintenance of crista junctions ; inner membrane architecture ; and formation of contact sites to the outer membrane; forms a subcomplex with Mic10p and Mic12p whose assembly and stability requires cardiolipin; orthologous to human APOO and APOOL"""
9572,9573.0,YNL100W,MIC27,Verified ORF,MIC27,"""Component of the MICOS complex; MICOS (formerly MINOS or MitOS) ; a mitochondrial inner membrane complex that extends into the intermembrane space with a role in the maintenance of crista junctions ; inner membrane architecture ; and formation of contact sites to the outer membrane; forms a subcomplex with Mic10p and Mic12p whose assembly and stability requires cardiolipin; orthologous to human APOO and APOOL"""
9573,9574.0,SUT333,,SUT,,
9574,9575.0,YNL097C,PHO23,Verified ORF,PHO23,"""Component of the Rpd3L histone deacetylase complex; involved in transcriptional regulation of PHO5; affects termination of snoRNAs and cryptic unstable transcripts (CUTs); C-terminus shares significant sequence identity with the human candidate tumor suppressor p33-ING1 and its isoform ING3"""
9575,9576.0,YNL097C,PHO23,Close to 3'-UTR,PHO23,"""Component of the Rpd3L histone deacetylase complex; involved in transcriptional regulation of PHO5; affects termination of snoRNAs and cryptic unstable transcripts (CUTs); C-terminus shares significant sequence identity with the human candidate tumor suppressor p33-ING1 and its isoform ING3"""
9576,9577.0,YNL094W,APP1,Close to 3'-UTR,APP1,"""Phosphatidate phosphatase ; converts phosphatidate to diacylglycerol; App1p ; Pah1p ; Dpp1p ; and Lpp1p are responsible for all the phosphatidate phosphatase activity; component of cortical actin patches; interacts with components of endocytic pathway"""
9577,9578.0,YNL091W,NST1,Verified ORF,NST1,"""Protein involved in signal transduction pathways; mediates responses through cell wall integrity ; highosmolarity glycerol and pheromone pathways; interacts physically with the splicing factor Msl1p and also displays genetic interaction with MSL1; interacts with Ste11p and Mkk1p/Mkk2p"""
9578,9579.0,YNL091W,NST1,Verified ORF,NST1,"""Protein involved in signal transduction pathways; mediates responses through cell wall integrity ; highosmolarity glycerol and pheromone pathways; interacts physically with the splicing factor Msl1p and also displays genetic interaction with MSL1; interacts with Ste11p and Mkk1p/Mkk2p"""
9579,9580.0,YNL090W_NFR/NDR,,Promoter,RHO2,"""Non-essential small GTPase of the Rho/Rac family of Ras-like proteins; involved in the establishment of cell polarity and in microtubule assembly"""
9580,9581.0,YNL090W_NFR/NDR,,Promoter,RHO2,"""Non-essential small GTPase of the Rho/Rac family of Ras-like proteins; involved in the establishment of cell polarity and in microtubule assembly"""
9581,9582.0,YNL090W_NFR/NDR,,Promoter,RHO2,"""Non-essential small GTPase of the Rho/Rac family of Ras-like proteins; involved in the establishment of cell polarity and in microtubule assembly"""
9582,9583.0,YNL090W,RHO2,Close to 3'-UTR,RHO2,"""Non-essential small GTPase of the Rho/Rac family of Ras-like proteins; involved in the establishment of cell polarity and in microtubule assembly"""
9583,9584.0,YNL088W_NFR/NDR,,Promoter,TOP2,"""Topoisomerase II; relieves torsional strain in DNA by cleaving and re-sealing phosphodiester backbone of both positively and negatively supercoiled DNA; cleaves complementary strands; localizes to axial cores in meiosis; required for replication slow zone (RSZ) breakage following Mec1p inactivation; human homolog TOP2A implicated in cancers ; and can complement yeast null mutant"""
9584,9585.0,YNL088W_NFR/NDR,,Promoter,TOP2,"""Topoisomerase II; relieves torsional strain in DNA by cleaving and re-sealing phosphodiester backbone of both positively and negatively supercoiled DNA; cleaves complementary strands; localizes to axial cores in meiosis; required for replication slow zone (RSZ) breakage following Mec1p inactivation; human homolog TOP2A implicated in cancers ; and can complement yeast null mutant"""
9585,9586.0,YNL088W,TOP2,Verified ORF,TOP2,"""Topoisomerase II; relieves torsional strain in DNA by cleaving and re-sealing phosphodiester backbone of both positively and negatively supercoiled DNA; cleaves complementary strands; localizes to axial cores in meiosis; required for replication slow zone (RSZ) breakage following Mec1p inactivation; human homolog TOP2A implicated in cancers ; and can complement yeast null mutant"""
9586,9587.0,YNL088W,TOP2,Verified ORF,TOP2,"""Topoisomerase II; relieves torsional strain in DNA by cleaving and re-sealing phosphodiester backbone of both positively and negatively supercoiled DNA; cleaves complementary strands; localizes to axial cores in meiosis; required for replication slow zone (RSZ) breakage following Mec1p inactivation; human homolog TOP2A implicated in cancers ; and can complement yeast null mutant"""
9587,9588.0,YNL088W,TOP2,Verified ORF,TOP2,"""Topoisomerase II; relieves torsional strain in DNA by cleaving and re-sealing phosphodiester backbone of both positively and negatively supercoiled DNA; cleaves complementary strands; localizes to axial cores in meiosis; required for replication slow zone (RSZ) breakage following Mec1p inactivation; human homolog TOP2A implicated in cancers ; and can complement yeast null mutant"""
9588,9589.0,YNL088W,TOP2,Verified ORF,TOP2,"""Topoisomerase II; relieves torsional strain in DNA by cleaving and re-sealing phosphodiester backbone of both positively and negatively supercoiled DNA; cleaves complementary strands; localizes to axial cores in meiosis; required for replication slow zone (RSZ) breakage following Mec1p inactivation; human homolog TOP2A implicated in cancers ; and can complement yeast null mutant"""
9589,9590.0,YNL087W_NFR/NDR,,Promoter,TCB2,"""ER protein involved in ER-plasma membrane tethering; one of 6 proteins (Ist2p ; Scs2p ; Scs22p ; Tcb1p ; Tcb2p ; Tcb3p) that connect ER to plasma membrane (PM) and regulate PM phosphatidylinositol-4-phosphate (PI4P) levels by controlling access of Sac1p phosphatase to its substrate PI4P in the PM; contains 3 calcium and lipid binding domains; mRNA is targeted to bud; TCB2 has a paralog ; TCB1 ; that arose from the whole genome duplication"""
9590,9591.0,YNL087W,TCB2,Verified ORF,TCB2,"""ER protein involved in ER-plasma membrane tethering; one of 6 proteins (Ist2p ; Scs2p ; Scs22p ; Tcb1p ; Tcb2p ; Tcb3p) that connect ER to plasma membrane (PM) and regulate PM phosphatidylinositol-4-phosphate (PI4P) levels by controlling access of Sac1p phosphatase to its substrate PI4P in the PM; contains 3 calcium and lipid binding domains; mRNA is targeted to bud; TCB2 has a paralog ; TCB1 ; that arose from the whole genome duplication"""
9591,9592.0,YNL087W,TCB2,Verified ORF,TCB2,"""ER protein involved in ER-plasma membrane tethering; one of 6 proteins (Ist2p ; Scs2p ; Scs22p ; Tcb1p ; Tcb2p ; Tcb3p) that connect ER to plasma membrane (PM) and regulate PM phosphatidylinositol-4-phosphate (PI4P) levels by controlling access of Sac1p phosphatase to its substrate PI4P in the PM; contains 3 calcium and lipid binding domains; mRNA is targeted to bud; TCB2 has a paralog ; TCB1 ; that arose from the whole genome duplication"""
9592,9593.0,YNL087W,TCB2,Verified ORF,TCB2,"""ER protein involved in ER-plasma membrane tethering; one of 6 proteins (Ist2p ; Scs2p ; Scs22p ; Tcb1p ; Tcb2p ; Tcb3p) that connect ER to plasma membrane (PM) and regulate PM phosphatidylinositol-4-phosphate (PI4P) levels by controlling access of Sac1p phosphatase to its substrate PI4P in the PM; contains 3 calcium and lipid binding domains; mRNA is targeted to bud; TCB2 has a paralog ; TCB1 ; that arose from the whole genome duplication"""
9593,9594.0,YNL087W,TCB2,Verified ORF,TCB2,"""ER protein involved in ER-plasma membrane tethering; one of 6 proteins (Ist2p ; Scs2p ; Scs22p ; Tcb1p ; Tcb2p ; Tcb3p) that connect ER to plasma membrane (PM) and regulate PM phosphatidylinositol-4-phosphate (PI4P) levels by controlling access of Sac1p phosphatase to its substrate PI4P in the PM; contains 3 calcium and lipid binding domains; mRNA is targeted to bud; TCB2 has a paralog ; TCB1 ; that arose from the whole genome duplication"""
9594,9595.0,YNL087W,TCB2,Verified ORF,TCB2,"""ER protein involved in ER-plasma membrane tethering; one of 6 proteins (Ist2p ; Scs2p ; Scs22p ; Tcb1p ; Tcb2p ; Tcb3p) that connect ER to plasma membrane (PM) and regulate PM phosphatidylinositol-4-phosphate (PI4P) levels by controlling access of Sac1p phosphatase to its substrate PI4P in the PM; contains 3 calcium and lipid binding domains; mRNA is targeted to bud; TCB2 has a paralog ; TCB1 ; that arose from the whole genome duplication"""
9595,9596.0,YNL086W_NFR/NDR,,Promoter,SNN1,"""Subunit of the BLOC-1 complex involved in endosomal maturation; interacts with Msb3p; green fluorescent protein (GFP)-fusion protein localizes to endosomes"""
9596,9597.0,YNL085W,MKT1,Verified ORF,MKT1,"""Protein similar to nucleases that forms a complex with Pbp1p; complex may mediate posttranscriptional regulation of HO; involved in propagation of M2 dsRNA satellite of L-A virus; allelic variation affects mitochondrial genome stability ; drug resistance ; and more; forms cytoplasmic foci upon DNA replication stress; localization to P-bodies under ethanol stress differs between strains"""
9597,9598.0,YNL085W,MKT1,Close to 3'-UTR,MKT1,"""Protein similar to nucleases that forms a complex with Pbp1p; complex may mediate posttranscriptional regulation of HO; involved in propagation of M2 dsRNA satellite of L-A virus; allelic variation affects mitochondrial genome stability ; drug resistance ; and more; forms cytoplasmic foci upon DNA replication stress; localization to P-bodies under ethanol stress differs between strains"""
9598,9599.0,YNL085W,MKT1,Close to 3'-UTR,MKT1,"""Protein similar to nucleases that forms a complex with Pbp1p; complex may mediate posttranscriptional regulation of HO; involved in propagation of M2 dsRNA satellite of L-A virus; allelic variation affects mitochondrial genome stability ; drug resistance ; and more; forms cytoplasmic foci upon DNA replication stress; localization to P-bodies under ethanol stress differs between strains"""
9599,9600.0,YNL083W,SAL1,Verified ORF,SAL1,"""ADP/ATP transporter; member of the Ca2+-binding subfamily of mitochondrial carriers ; with two EF-hand motifs; transport activity of either Sal1p or Pet9p is critical for viability; polymorphic in different S. cerevisiae strains"""
9600,9601.0,YNL079C,TPM1,Verified ORF,TPM1,"""Major isoform of tropomyosin; binds to and stabilizes actin cables and filaments ; which direct polarized cell growth and the distribution of several organelles; acetylated by the NatB complex and acetylated form binds actin most efficiently; TPM1 has a paralog ; TPM2 ; that arose from the whole genome duplication"""
9601,9602.0,YNL078W,NIS1,Verified ORF,NIS1,"""Protein involved in axial bud site selection; prevents repolarization of cells at previous division sites; recruited with Nba1p to the cell cortex and to cytokinesis remnants (bud scars) by Aim44p and Nap1p where Nba1p prevent Rsr1p-mediated activation of Cdc24p ; and therefore Cdc42p activation; acts with Nba1p to establish transient bud scar localization of Rga1p ; a Cdc42p GAP; localizes to the nucleus and to cell division site during G2/M ; and is then stably recruited to cytokinesis remnants"""
9602,9603.0,YNL077W,APJ1,Verified ORF,APJ1,"""Hsp40 chaperone with a role in SUMO-mediated protein degradation; works in concert with Hsp70 and Hsp110 (Sse1p) to promote disaggregation of intranuclear protein inclusions; competes with Hsp104 in disaggregation ; supporting turnover instead of refolding; member of DnaJ-like family ; conserved across eukaryotes; overexpression interferes with propagation of the [Psi+] prion; forms nuclear foci upon DNA replication stress"""
9603,9604.0,YNL076W,MKS1,Verified ORF,MKS1,"""Pleiotropic negative transcriptional regulator; involved in Ras-CAMP and lysine biosynthetic pathways and nitrogen regulation; involved in retrograde (RTG) mitochondria-to-nucleus signaling"""
9604,9605.0,YNL075W,IMP4,Verified ORF,IMP4,"""Component of the SSU processome; SSU processome is required for pre-18S rRNA processing; interacts with Mpp10p; member of a superfamily of proteins that contain a sigma(70)-like motif and associate with RNAs"""
9605,9606.0,YNL075W,IMP4,Close to 3'-UTR,IMP4,"""Component of the SSU processome; SSU processome is required for pre-18S rRNA processing; interacts with Mpp10p; member of a superfamily of proteins that contain a sigma(70)-like motif and associate with RNAs"""
9606,9607.0,YNL073W,MSK1,Verified ORF,MSK1,"""Mitochondrial lysine-tRNA synthetase; required for import of both aminoacylated and deacylated forms of tRNA(Lys) into mitochondria and for aminoacylation of mitochondrially encoded tRNA(Lys)"""
9607,9608.0,YNL072W,RNH201,Verified ORF,RNH201,"""Ribonuclease H2 catalytic subunit; removes RNA primers during Okazaki fragment synthesis and errant ribonucleotides misincorporated during DNA replication; role in ribonucleotide excision repair; homolog of RNAse HI; related to human AGS4 which causes Aicardi-Goutieres syndrome"""
9608,9609.0,YNL071W_NFR/NDR,,Promoter,LAT1,"""Dihydrolipoamide acetyltransferase component (E2) of the PDC; the pyruvate dehydrogenase complex (PDC) catalyzes the oxidative decarboxylation of pyruvate to acetyl-CoA; metabolic longevity factor required for calorie restriction-mediated life span extension"""
9609,9610.0,YNL070W_NFR/NDR,,Promoter,TOM7,"""Component of the TOM (translocase of outer membrane) complex; responsible for recognition and initial import steps for all mitochondrially directed proteins; promotes assembly and stability of the TOM complex"""
9610,9611.0,YNL068C,FKH2,Verified ORF,FKH2,"""Forkhead family transcription factor; rate-limiting activator of replication origins; evolutionarily conserved regulator of lifespan; binds multiple chromosomal elements with distinct specificities ; cell cycle dynamics; positively regulates transcriptional elongation; facilitates clustering ; activation of early-firing replication origins; negative role in chromatin silencing at HML and HMR; major role in expression of G2/M phase genes; relocalizes to cytosol under hypoxia"""
9611,9612.0,YNL068C,FKH2,Verified ORF,FKH2,"""Forkhead family transcription factor; rate-limiting activator of replication origins; evolutionarily conserved regulator of lifespan; binds multiple chromosomal elements with distinct specificities ; cell cycle dynamics; positively regulates transcriptional elongation; facilitates clustering ; activation of early-firing replication origins; negative role in chromatin silencing at HML and HMR; major role in expression of G2/M phase genes; relocalizes to cytosol under hypoxia"""
9612,9613.0,YNL067W-A,YNL067W-A,Dubious ORF,YNL067W-A,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data"""
9613,9614.0,YNL067W-B_NFR/NDR,,Promoter,YNL067W-B,"""Putative protein of unknown function"""
9614,9615.0,YNL067W,RPL9B,Close to 3'-UTR,RPL9B,"""Ribosomal 60S subunit protein L9B; homologous to mammalian ribosomal protein L9 and bacterial L6; RPL9B has a paralog ; RPL9A ; that arose from a single-locus duplication"""
9615,9616.0,YNL066W,SUN4,Verified ORF,SUN4,"""Cell wall protein related to glucanases localized in birth scars; possibly involved in cell wall septation; member of the SUN family; SUN4 has a paralog ; SIM1 ; that arose from the whole genome duplication"""
9616,9617.0,YNL066W,SUN4,Verified ORF,SUN4,"""Cell wall protein related to glucanases localized in birth scars; possibly involved in cell wall septation; member of the SUN family; SUN4 has a paralog ; SIM1 ; that arose from the whole genome duplication"""
9617,9618.0,YNL066W,SUN4,Verified ORF,SUN4,"""Cell wall protein related to glucanases localized in birth scars; possibly involved in cell wall septation; member of the SUN family; SUN4 has a paralog ; SIM1 ; that arose from the whole genome duplication"""
9618,9619.0,YNL066W,SUN4,Verified ORF,SUN4,"""Cell wall protein related to glucanases localized in birth scars; possibly involved in cell wall septation; member of the SUN family; SUN4 has a paralog ; SIM1 ; that arose from the whole genome duplication"""
9619,9620.0,YNL066W,SUN4,Close to 3'-UTR,SUN4,"""Cell wall protein related to glucanases localized in birth scars; possibly involved in cell wall septation; member of the SUN family; SUN4 has a paralog ; SIM1 ; that arose from the whole genome duplication"""
9620,9621.0,YNL066W,SUN4,Close to 3'-UTR,SUN4,"""Cell wall protein related to glucanases localized in birth scars; possibly involved in cell wall septation; member of the SUN family; SUN4 has a paralog ; SIM1 ; that arose from the whole genome duplication"""
9621,9622.0,YNL066W,SUN4,Close to 3'-UTR,SUN4,"""Cell wall protein related to glucanases localized in birth scars; possibly involved in cell wall septation; member of the SUN family; SUN4 has a paralog ; SIM1 ; that arose from the whole genome duplication"""
9622,9623.0,YNL065W,AQR1,Verified ORF,AQR1,"""Plasma membrane transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; confers resistance to short-chain monocarboxylic acids and quinidine; involved in the excretion of excess amino acids; AQR1 has a paralog ; QDR1 ; that arose from the whole genome duplication; relocalizes from plasma membrane to cytoplasm upon DNA replication stress"""
9623,9624.0,YNL063W,MTQ1,Verified ORF,MTQ1,"""S-adenosylmethionine-dependent methyltransferase; methylates translational release factor Mrf1p; similar to E.coli PrmC; is not an essential gene"""
9624,9625.0,YNL063W,MTQ1,Verified ORF,MTQ1,"""S-adenosylmethionine-dependent methyltransferase; methylates translational release factor Mrf1p; similar to E.coli PrmC; is not an essential gene"""
9625,9626.0,YNL061W_NFR/NDR,,Promoter,NOP2,"""rRNA m5C methyltransferase; methylates cytosine at position 2870 of 25S rRNA; has an essential function independent of rRNA methylation; contains seven beta-strand methyltransferase motif; essential for processing and maturation of 27S pre-rRNA and large ribosomal subunit biogenesis; localized to the nucleolus; constituent of 66S pre-ribosomal particles; rRNA methylation defect and lethality are functionally complemented by human NOP2 ; a gene upregulated in cancer"""
9626,9627.0,YNL061W,NOP2,Verified ORF,NOP2,"""rRNA m5C methyltransferase; methylates cytosine at position 2870 of 25S rRNA; has an essential function independent of rRNA methylation; contains seven beta-strand methyltransferase motif; essential for processing and maturation of 27S pre-rRNA and large ribosomal subunit biogenesis; localized to the nucleolus; constituent of 66S pre-ribosomal particles; rRNA methylation defect and lethality are functionally complemented by human NOP2 ; a gene upregulated in cancer"""
9627,9628.0,YNL058C,YNL058C,Uncharacterized ORF,YNL058C,"""Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to vacuole; not an essential gene; YNL058C has a paralog ; PRM5 ; that arose from the whole genome duplication"""
9628,9629.0,YNL054W-B,YNL054W-B,Close to 3'-UTR,YNL054W-B,"""TyB Gag-Pol protein; proteolytically processed to make the Gag ; reverse transcriptase (RT) ; protease (PR) ; and integrase (IN) proteins that are required for retrotransposition"""
9629,9630.0,YNL054W-B,YNL054W-B,Close to 3'-UTR,YNL054W-B,"""TyB Gag-Pol protein; proteolytically processed to make the Gag ; reverse transcriptase (RT) ; protease (PR) ; and integrase (IN) proteins that are required for retrotransposition"""
9630,9631.0,YNL054W,VAC7,Verified ORF,VAC7,"""Integral vacuolar membrane protein; involved in vacuole inheritance and morphology; activates Fab1p kinase activity under basal conditions and also after hyperosmotic shock"""
9631,9632.0,YNL054W,VAC7,Verified ORF,VAC7,"""Integral vacuolar membrane protein; involved in vacuole inheritance and morphology; activates Fab1p kinase activity under basal conditions and also after hyperosmotic shock"""
9632,9633.0,YNL054W,VAC7,Verified ORF,VAC7,"""Integral vacuolar membrane protein; involved in vacuole inheritance and morphology; activates Fab1p kinase activity under basal conditions and also after hyperosmotic shock"""
9633,9634.0,YNL053W_NFR/NDR,,Promoter,MSG5,"""Dual-specificity protein phosphatase; maintains low levels of both basal and induced cell integrity pathway signaling by dephosphorylation of the Slt2p MAPK; reciprocally regulated by Slt2p through phosphorylation; minor role with Ptp2p in the adaptive response to pheromone through the dephosphorylation of the Fus3p MAPK with major contribution by Ptp3p; inhibits the nuclear accumulation of Fus3p; two isoforms exist as the result of alternative translation initiation starts"""
9634,9635.0,YNL050C,YNL050C,Uncharacterized ORF,YNL050C,"""Putative protein of unknown function; YNL050c is not an essential gene"""
9635,9636.0,YNL050C,YNL050C,Uncharacterized ORF,YNL050C,"""Putative protein of unknown function; YNL050c is not an essential gene"""
9636,9637.0,YNL050C,YNL050C,Close to 3'-UTR,YNL050C,"""Putative protein of unknown function; YNL050c is not an essential gene"""
9637,9638.0,YNL049C,SFB2,Verified ORF,SFB2,"""Component of the Sec23p-Sfb2p heterodimer of the COPII vesicle coat; required for cargo selection during vesicle formation in ER to Golgi transport; homologous to Sfb3p; SFB2 has a paralog ; SEC24 ; that arose from the whole genome duplication"""
9638,9639.0,YNL049C,SFB2,Verified ORF,SFB2,"""Component of the Sec23p-Sfb2p heterodimer of the COPII vesicle coat; required for cargo selection during vesicle formation in ER to Golgi transport; homologous to Sfb3p; SFB2 has a paralog ; SEC24 ; that arose from the whole genome duplication"""
9639,9640.0,YNL048W,ALG11,Verified ORF,ALG11,"""Alpha-1,2-mannosyltransferase; catalyzes sequential addition of the two terminal alpha 1,2-mannose residues to the Man5GlcNAc2-PP-dolichol intermediate during asparagine-linked glycosylation in the ER"""
9640,9641.0,YNL048W,ALG11,Verified ORF,ALG11,"""Alpha-1,2-mannosyltransferase; catalyzes sequential addition of the two terminal alpha 1,2-mannose residues to the Man5GlcNAc2-PP-dolichol intermediate during asparagine-linked glycosylation in the ER"""
9641,9642.0,YNL045W,LAP2,Verified ORF,LAP2,"""Leucyl aminopeptidase yscIV with epoxide hydrolase activity; metalloenzyme containing one zinc atom; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; also known as leukotriene A4 hydrolase"""
9642,9643.0,YNL045W,LAP2,Verified ORF,LAP2,"""Leucyl aminopeptidase yscIV with epoxide hydrolase activity; metalloenzyme containing one zinc atom; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; also known as leukotriene A4 hydrolase"""
9643,9644.0,YNL045W,LAP2,Verified ORF,LAP2,"""Leucyl aminopeptidase yscIV with epoxide hydrolase activity; metalloenzyme containing one zinc atom; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; also known as leukotriene A4 hydrolase"""
9644,9645.0,ARS1421,ARS1421,Replication,,
9645,9646.0,YNL042W_NFR/NDR,,Promoter,BOP3,"""Protein of unknown function; potential Cdc28p substrate; overproduction confers resistance to methylmercury"""
9646,9647.0,YNL042W_NFR/NDR,,Promoter,BOP3,"""Protein of unknown function; potential Cdc28p substrate; overproduction confers resistance to methylmercury"""
9647,9650.0,YNL042W,BOP3,Verified ORF,BOP3,"""Protein of unknown function; potential Cdc28p substrate; overproduction confers resistance to methylmercury"""
9648,9648.0,YNL042W-B,YNL042W-B,Close to 3'-UTR,YNL042W-B,"""Putative protein of unknown function"""
9649,9649.0,YNL042W-B,YNL042W-B,Close to 3'-UTR,YNL042W-B,"""Putative protein of unknown function"""
9650,9651.0,YNL041C,COG6,Verified ORF,COG6,"""Component of the conserved oligomeric Golgi complex; a cytosolic tethering complex (Cog1p through Cog8p) that functions in protein trafficking to mediate fusion of transport vesicles to Golgi compartments"""
9651,9652.0,YNL041C,COG6,Verified ORF,COG6,"""Component of the conserved oligomeric Golgi complex; a cytosolic tethering complex (Cog1p through Cog8p) that functions in protein trafficking to mediate fusion of transport vesicles to Golgi compartments"""
9652,9653.0,YNL041C,COG6,Verified ORF,COG6,"""Component of the conserved oligomeric Golgi complex; a cytosolic tethering complex (Cog1p through Cog8p) that functions in protein trafficking to mediate fusion of transport vesicles to Golgi compartments"""
9653,9654.0,YNL040W,YNL040W,Verified ORF,YNL040W,"""Protein of unknown function; has strong similarity to alanyl-tRNA synthases from Eubacteria; null mutant displays decreased translation rate and increased readthrough of premature stop codons; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YNL040W is not an essential gene"""
9654,9655.0,YNL039W_NFR/NDR,,Promoter,BDP1,"""Essential subunit of RNA polymerase III transcription factor (TFIIIB); TFIIIB is involved in transcription of genes encoding tRNAs ; 5S rRNA ; U6 snRNA ; and other small RNAs"""
9655,9656.0,YNL039W_NFR/NDR,,Promoter,BDP1,"""Essential subunit of RNA polymerase III transcription factor (TFIIIB); TFIIIB is involved in transcription of genes encoding tRNAs ; 5S rRNA ; U6 snRNA ; and other small RNAs"""
9656,9657.0,YNL037C,IDH1,Verified ORF,IDH1,"""Subunit of mitochondrial NAD(+)-dependent isocitrate dehydrogenase; complex catalyzes the oxidation of isocitrate to alpha-ketoglutarate in the TCA cycle"""
9657,9658.0,YNL036W,NCE103,Verified ORF,NCE103,"""Carbonic anhydrase; metalloenzyme that catalyzes CO2 hydration to bicarbonate ; which is an important metabolic substrate ; and protons; not expressed under conditions of high CO2 ; such as inside a growing colony ; but transcription is induced in response to low CO2 levels ; such as on the colony surface in ambient air; poorly transcribed under aerobic conditions and at an undetectable level under anaerobic conditions; abundance increases in response to DNA replication stress"""
9658,9659.0,YNL036W,NCE103,Verified ORF,NCE103,"""Carbonic anhydrase; metalloenzyme that catalyzes CO2 hydration to bicarbonate ; which is an important metabolic substrate ; and protons; not expressed under conditions of high CO2 ; such as inside a growing colony ; but transcription is induced in response to low CO2 levels ; such as on the colony surface in ambient air; poorly transcribed under aerobic conditions and at an undetectable level under anaerobic conditions; abundance increases in response to DNA replication stress"""
9659,9660.0,tT(AGU)N2_NFR/NDR,,Promoter,,
9660,9661.0,tT(AGU)N2_NFR/NDR,,Promoter,,
9661,9662.0,tT(AGU)N2_NFR/NDR,,Promoter,,
9662,9663.0,tT(AGU)N2_NFR/NDR,,Promoter,,
9663,9664.0,tT(AGU)N2_NFR/NDR,,Promoter,,
9664,9665.0,tT(AGU)N2_NFR/NDR,,Promoter,,
9665,9666.0,tT(AGU)N2_NFR/NDR,,Promoter,,
9666,9667.0,ARS1422,ARS1422,Replication,,
9667,9668.0,ARS1423,ARS1423,Replication,,
9668,9669.0,ARS1423,ARS1423,Replication,,
9669,9670.0,YNL035C,YNL035C,Verified ORF,YNL035C,"""Nuclear protein of unknown function; relocalizes to the cytosol in response to hypoxia; contains WD-40 domains; not an essential gene; protein abundance increases in response to DNA replication stress"""
9670,9671.0,YNL035C,YNL035C,Verified ORF,YNL035C,"""Nuclear protein of unknown function; relocalizes to the cytosol in response to hypoxia; contains WD-40 domains; not an essential gene; protein abundance increases in response to DNA replication stress"""
